feature,importance_mean,importance_std
ph_damage_per_min_q25_Team0,-0.005617977528089857,0.005024871859550052
ph_time_played_median_Team0,-0.005617977528089857,0.005024871859550052
ph_kills_q25_Team0,-0.005617977528089857,0.005024871859550052
ph_assists_max_Team0,-0.005617977528089857,0.005024871859550052
p_total_time_played_q25_Team1,-0.005617977528089857,0.005024871859550052
ph_total_kd_max_Team0,-0.005617977528089857,0.007945020013331966
Unnamed: 0,-0.005617977528089879,0.007106241932962633
ph_damage_per_min_q25_Team1,-0.005617977528089879,0.010659362899443966
ph_assists_median_Team0,-0.005617977528089879,0.007106241932962633
ph_time_played_q25_Team1,-0.005617977528089879,0.0035531209664812985
ph_assists_min_Team0,-0.005617977528089901,0.0
ph_wins_min_Team1,-0.006741573033707838,0.008256706998145511
ph_kd_ratio_q75_Team0,-0.006741573033707838,0.00420410942334147
ph_deaths_q25_Team0,-0.006741573033707859,0.005504471332097002
ph_kills_median_Team1,-0.006741573033707859,0.005504471332097001
ph_kd_ratio_min_Team1,-0.007865168539325795,0.0044943820224718715
ph_damage_per_min_ratio_q75_Team0,-0.007865168539325795,0.0044943820224718715
ph_kills_q25_Team1,-0.007865168539325795,0.0044943820224718715
ph_kills_max_Team0,-0.007865168539325795,0.0044943820224718715
ph_deaths_median_Team1,-0.007865168539325795,0.0044943820224718715
ph_damage_per_min_q75_Team0,-0.007865168539325795,0.010419796062354703
ph_time_played_ratio_min_Team1,-0.007865168539325817,0.002752235666048467
ph_kd_ratio_min_Team0,-0.007865168539325817,0.005729235408531185
ph_assists_max_Team1,-0.00786516853932584,0.007620595486657581
ph_damage_per_min_ratio_q25_Team0,-0.008988764044943776,0.002752235666048467
ph_time_played_ratio_median_Team1,-0.010112359550561733,0.005504471332097002
ph_win_rate_ratio_q75_Team0,-0.010112359550561755,0.012511830028831496
ph_assists_ratio_q25_Team1,-0.010112359550561755,0.00420410942334147
ph_win_rate_ratio_q25_Team0,-0.011235955056179714,0.0035531209664812985
ph_damage_per_min_ratio_q75_Team1,-0.011235955056179737,0.007106241932962615
ph_time_played_ratio_q25_Team1,-0.011235955056179737,0.005024871859550052
match_id,-0.012359550561797694,0.00745308941652897
ph_total_kd_min_Team0,-0.013483146067415675,0.007620595486657584
ph_time_played_ratio_q75_Team1,-0.015730337078651613,0.006551631342522826
ph_damage_per_min_min_Team1,-0.017977528089887573,0.004204109423341517
ph_time_played_median_Team1,-0.021348314606741515,0.006551631342522826
ph_win_rate_ratio_median_Team0,-0.021348314606741536,0.012511830028831503
