,match_id,team,p_total_time_played_min,p_total_time_played_max,p_total_time_played_mean,p_total_time_played_std,ph_wins_min,ph_wins_max,ph_wins_mean,ph_wins_std,ph_kills_min,ph_kills_max,ph_kills_mean,ph_kills_std,ph_deaths_min,ph_deaths_max,ph_deaths_mean,ph_deaths_std,ph_assists_min,ph_assists_max,ph_assists_mean,ph_assists_std,ph_damage_per_min_min,ph_damage_per_min_max,ph_damage_per_min_mean,ph_damage_per_min_std,ph_time_played_min,ph_time_played_max,ph_time_played_mean,ph_time_played_std,ph_total_kd_min,ph_total_kd_max,ph_total_kd_mean,ph_total_kd_std,ph_kd_ratio_min,ph_kd_ratio_max,ph_kd_ratio_mean,ph_kd_ratio_std,ph_time_played_ratio_min,ph_time_played_ratio_max,ph_time_played_ratio_mean,ph_time_played_ratio_std,ph_damage_per_min_ratio_min,ph_damage_per_min_ratio_max,ph_damage_per_min_ratio_mean,ph_damage_per_min_ratio_std,ph_assists_ratio_min,ph_assists_ratio_max,ph_assists_ratio_mean,ph_assists_ratio_std,ph_win_rate_ratio_min,ph_win_rate_ratio_max,ph_win_rate_ratio_mean,ph_win_rate_ratio_std,pm_win_first
1041,38716700,Team1,678562,3697001,2146687.5,1116191.949774724,19,398,151.0,150.1892139935488,237,5206,1959.6666666666667,2002.213941282666,186,4688,1744.8333333333333,1880.6684361329262,499,9577,3388.8333333333335,3525.9896435847154,775.3195243445705,1017.4274103797798,940.2008064449286,98.30563352329602,69617,1384881,509815.0,520419.8105426042,0.9187898089171974,1.9265232974910393,1.2336529226149122,0.3589130794733796,0.8279537875268601,1.4718376931243644,1.13625765683524,0.21968716540050529,0.8797027661296586,17.047209155574965,5.795108948812572,6.133456455362606,1.0276938684006003,1.1685996496095201,1.0935201358818911,0.06474249320367517,1.1081468873779605,20.474696408416737,6.915987708489127,7.420502559607859,1.0252240633960095,1.221122297747263,1.1085679891857456,0.07188592949531827,Y
1042,38716703,Team0,777042,3049716,1922913.8333333333,824922.9289758933,6,472,244.0,208.24312713748802,70,8535,3749.0,3685.881604175587,44,8726,3202.6666666666665,3255.7273636879777,143,9176,4309.833333333333,3676.7515780463964,527.579250293683,1046.342460974692,825.8369992829039,181.19100315202482,18490,1835547,877919.3333333334,787690.6333122583,0.5975669099756691,1.8082191780821917,1.3287867098878046,0.45234997804296645,0.6717255312812762,1.4535022002757336,1.0549456942797735,0.3278014388550443,0.31000001781057474,21.21422231866769,8.84361996332013,8.311956539815101,0.8614490734534584,1.2715980240950737,1.0188987855234013,0.17810225271466767,0.3752170358547125,20.377466610381095,8.582145651127645,7.971072003516959,1.0138839163473845,1.25463574633265,1.1041019283487161,0.0935162197260889,Y
1043,38716703,Team1,1688145,3252229,2321301.1666666665,588269.4402970178,11,321,177.33333333333334,131.06741268014207,231,3447,2161.5,1379.4784159239316,185,3717,2068.3333333333335,1538.9619445154149,245,8309,4256.0,3308.466835257685,756.9375797345366,920.8443166314368,845.2933980181446,75.956666330929,51262,1228952,640566.1666666666,465081.19274871424,0.927360774818402,1.7622549019607843,1.2074425541655966,0.3159071046630936,0.6694279304124917,1.1808317917509181,1.0043047425781642,0.18334822172393916,0.5480427443768735,17.92538562219856,7.059121670486314,6.584569245810126,0.9127769296225279,1.0921926793829766,1.022158281782786,0.07208599462377864,0.48548630475705223,18.0570606411688,7.320058111544377,6.724172632148685,0.9857210050844655,1.144164884088442,1.044700266056768,0.06018165194629067,N
1044,38716720,Team0,146843,4404530,2392796.5,1535746.159291144,5,569,175.16666666666666,221.46910996043368,105,8351,2297.1666666666665,3104.55158866247,95,6682,1803.5,2471.867694679471,143,11726,3668.3333333333335,4718.550737956165,756.0204890734436,1101.3927059219136,902.4390412402199,128.27355433125703,24660,1910199,611094.8333333334,745526.9642301119,0.6024096385542169,1.7969072164948454,1.1803169100663609,0.39415089273955284,0.8010621793997961,1.888377551072447,1.1890130436213822,0.40081044694139084,0.18776059385173705,11.946029453363881,5.124021237452598,5.169947238193163,0.9959751612024561,1.149023075209712,1.064681452755327,0.0655521771931563,0.24704489523541753,12.6290808370194,5.134478943599441,5.379295457118909,0.737780149490949,1.1251526584535383,0.9369984449183756,0.1652553844995786,N
1045,38716720,Team1,1743627,6122248,3407200.1666666665,1523523.4540417704,28,1586,346.6666666666667,611.2850944253971,297,23428,5071.0,9060.769901062493,366,21072,4319.333333333333,8223.35089040147,650,38150,7980.5,14826.116156971117,728.0309704701749,968.513765216296,870.5598568838568,80.74113569568163,106799,5644578,1236094.5,2171327.984438164,0.8114754098360656,1.8251245157719977,1.218288737796095,0.41729066916029034,0.6238733421142905,1.3737501347133414,1.0515856214024788,0.2808714663381519,1.0469246048257699,46.338709688649246,11.196627024953797,17.393201704004365,0.9733439670955132,1.2095562429955724,1.0885336656381424,0.07948143899735115,0.9951405665903269,54.78808432046873,12.497294358505721,20.872733949707094,0.9061896726281633,1.1096632603696892,1.0115366701193795,0.08402020487220507,Y
1046,38716806,Team0,518824,2117244,1114221.6666666667,640534.4429810677,10,99,35.833333333333336,33.65957020917924,169,1429,517.8333333333334,481.0631628660281,108,1473,457.5,537.82999172601,170,1964,660.1666666666666,674.9060428434958,754.2740761592662,1351.6413600359488,979.0777987186057,214.45685390645647,29796,332325,120936.0,115134.53842005882,0.9657142857142857,3.198473282442748,1.5179640694288636,0.870449895719833,0.3873038674696348,1.5329587502563984,1.0206306089391466,0.4448502654205696,0.31158908198935936,3.5528911284195797,1.3281658355759396,1.1865594089256282,0.8814709862772578,1.4317138209702516,1.1133141676721447,0.20826230618902694,0.3677155188313844,3.89181674507286,1.400832953278709,1.2915057364855966,0.9027189460036018,1.3576835435530028,1.1047125273915297,0.18570235303835894,Y
1047,38716806,Team1,1581097,3453764,2387786.8333333335,802757.7734329121,13,530,209.33333333333334,224.75913032993046,178,9167,3464.1666666666665,3711.384238618614,182,5649,2513.3333333333335,2604.340121156733,367,10772,4122.833333333333,4443.608237307455,758.5930765145162,1059.1504041893047,919.5164524078328,128.2406020790912,54219,1644770,692304.8333333334,734463.2885473355,0.978021978021978,1.6718949480211562,1.3354305054966245,0.26865611956749513,0.8266429628170493,1.1605136845223545,1.059245793198022,0.12644164309672898,0.531495661467321,12.473187018266282,5.705189032625984,5.305271876929695,0.9147732623562781,1.2421628060244663,1.0643701526231848,0.12783790664439276,0.5618716737517692,11.497599031970449,5.776919900232071,5.1608371602907965,0.9003232422841914,1.179760215448924,1.093313707420531,0.1030007149575745,N
1048,38716882,Team0,1234006,3433856,1971725.5,773164.8645373767,34,477,139.33333333333334,170.57510564753187,342,8520,2363.0,3058.2105225114897,185,4797,1361.8333333333333,1713.3171821547423,542,11273,2984.1666666666665,4119.315934310777,880.8492764652784,1207.8522384306718,1037.6004371161314,109.80484915650324,74240,1637236,439419.0,597987.1064292273,1.406926406926407,2.0130331753554502,1.7379572898085505,0.2522209307845729,0.7667341525305905,1.0104914175252147,0.8705941448319257,0.10723246287578377,1.0176570949003976,9.721767257487365,3.495632814260603,3.4381101984991163,0.994003704503388,1.3582333951977479,1.1852148720149829,0.13732785755298396,1.3396151137216379,10.762381606774444,4.125141382801195,3.6095449357602223,1.092370569860115,1.4268990042412588,1.1867634196755,0.1244268531904215,Y
1049,38716882,Team1,220571,3427240,1740926.8333333333,1247711.0922785637,2,542,184.16666666666666,220.7554453839512,34,6745,2644.5,3181.169140426205,38,4115,1652.1666666666667,1976.553709532495,81,10338,3330.1666666666665,4178.344333185893,601.3634516422916,1074.8872348100217,862.2516851630509,186.77656706288485,10924,1544170,541367.6666666666,654447.8313352918,0.8947368421052632,2.298076923076923,1.4865761480311743,0.522419728348303,0.5133434133698876,1.2459132128234307,0.8675771759676904,0.28566286917367945,0.10708531337481353,15.815153106331275,5.476512444261929,6.554371828430564,0.8183214119664172,1.2453655100452072,0.9974698520594312,0.17172154145225887,0.12400982445202535,18.433732301473235,6.138977127419678,7.502671600985362,0.5936197201873789,1.3729312084440777,1.1065471966472824,0.27470852807384544,N
1050,38716910,Team0,2893747,4094328,3337670.5,526775.2808857872,24,171,61.833333333333336,54.72994305374953,351,3342,1069.1666666666667,1139.694769079277,297,2435,829.3333333333334,810.6265889215988,558,2477,1140.0,711.9168490771938,884.7023034224364,1095.854130103364,962.381747051907,86.51345816433542,87046,626173,213356.83333333334,206139.22664298193,0.918848167539267,1.659877800407332,1.2528924729476623,0.2914692431880993,0.685982143474646,1.341511422443852,1.0463822983951834,0.25054446707086403,0.8056214921332313,4.767664814838756,1.7804781561889726,1.4841172165817849,1.0171940139178588,1.2053943873101836,1.105223795241071,0.07785269862647466,1.0661415876655769,4.279232206280624,1.8642901736550543,1.2032106508255893,0.8642446880906661,1.262574744166831,1.0397147035866208,0.13749544453532928,N
