,match_id,team_0_win,p_total_time_played_min_diff,p_total_time_played_max_diff,p_total_time_played_q25_diff,p_total_time_played_median_diff,p_total_time_played_q75_diff,ph_wins_min_diff,ph_wins_max_diff,ph_wins_q25_diff,ph_wins_median_diff,ph_wins_q75_diff,ph_kills_min_diff,ph_kills_max_diff,ph_kills_q25_diff,ph_kills_median_diff,ph_kills_q75_diff,ph_deaths_min_diff,ph_deaths_max_diff,ph_deaths_q25_diff,ph_deaths_median_diff,ph_deaths_q75_diff,ph_assists_min_diff,ph_assists_max_diff,ph_assists_q25_diff,ph_assists_median_diff,ph_assists_q75_diff,ph_damage_per_min_min_diff,ph_damage_per_min_max_diff,ph_damage_per_min_q25_diff,ph_damage_per_min_median_diff,ph_damage_per_min_q75_diff,ph_time_played_min_diff,ph_time_played_max_diff,ph_time_played_q25_diff,ph_time_played_median_diff,ph_time_played_q75_diff,ph_total_kd_min_diff,ph_total_kd_max_diff,ph_total_kd_q25_diff,ph_total_kd_median_diff,ph_total_kd_q75_diff,ph_kd_ratio_min_diff,ph_kd_ratio_max_diff,ph_kd_ratio_q25_diff,ph_kd_ratio_median_diff,ph_kd_ratio_q75_diff,ph_time_played_ratio_min_diff,ph_time_played_ratio_max_diff,ph_time_played_ratio_q25_diff,ph_time_played_ratio_median_diff,ph_time_played_ratio_q75_diff,ph_damage_per_min_ratio_min_diff,ph_damage_per_min_ratio_max_diff,ph_damage_per_min_ratio_q25_diff,ph_damage_per_min_ratio_median_diff,ph_damage_per_min_ratio_q75_diff,ph_assists_ratio_min_diff,ph_assists_ratio_max_diff,ph_assists_ratio_q25_diff,ph_assists_ratio_median_diff,ph_assists_ratio_q75_diff,ph_win_rate_ratio_min_diff,ph_win_rate_ratio_max_diff,ph_win_rate_ratio_q25_diff,ph_win_rate_ratio_median_diff,ph_win_rate_ratio_q75_diff
147,38669542,N,64677,-68294,360719.75,-189798.5,285621.75,1,-324,-12.5,-29.0,-81.5,112,-5208,-222.5,-571.0,-1638.0,52,-2644,-122.5,-543.5,-1099.5,117,-4557,-159.25,-426.0,-812.75,-437.259,-32.765,-292.763,-83.571,-21.405,14720,-952203,-28663.0,-100456.0,-308960.5,-0.429,1.023,-0.537,-0.203,0.064,-0.308,0.441,0.135,0.063,0.066,0.088,-8.932,-0.152,-0.207,-1.323,-0.293,0.059,-0.234,-0.042,0.008,0.068,-9.862,-0.237,-0.08,-0.329,-0.085,-0.374,-0.108,0.02,0.03
148,38669644,N,1215497,3202791,262265.0,56514.0,388086.25,8,1173,100.75,353.0,433.5,-8,18848,1397.75,4082.5,5643.0,156,16304,1446.5,4574.5,7328.25,101,28843,1384.5,5595.0,7135.5,210.732,-151.584,48.959,36.732,-39.737,28528,4264867,353877.75,1226344.0,1470668.75,0.089,-0.452,-0.2,-0.324,-0.492,0.202,0.371,0.211,0.248,0.304,0.022,26.214,2.606,7.411,8.882,0.042,-0.063,0.01,-0.107,-0.159,-0.147,34.562,1.932,6.988,8.598,0.026,-0.055,0.014,0.042,-0.045
149,38669669,N,-1434121,314763,-1061415.0,-921009.0,-374945.25,-26,-324,-27.75,-56.5,-91.25,-351,-278,-409.25,-645.5,-1152.5,-200,-1334,-437.0,-828.5,-1157.0,-565,-2767,-583.25,-975.0,-1980.25,-238.327,231.99,-130.309,124.683,195.282,-66891,-1151284,-104781.25,-214679.0,-340277.25,0.162,1.896,0.009,0.198,-0.057,-0.294,0.183,0.08,-0.08,-0.025,-0.69,12.127,-1.273,-1.581,-3.381,-0.377,0.256,0.031,-0.021,-0.014,-0.844,24.267,-1.102,-1.645,-3.608,-0.031,0.236,-0.05,0.053,0.158
150,38669722,Y,724931,-1278331,438579.5,480311.5,464898.0,-3,-289,-21.75,-133.5,-228.75,-35,-4274,-309.25,-1848.5,-3182.25,-38,-1704,-342.5,-961.5,-1829.5,-83,-5871,-569.0,-1749.0,-2149.0,48.964,-73.156,42.303,-69.712,-84.378,-9007,-999400,-85715.25,-371626.0,-610715.75,0.012,-0.237,-0.075,-0.072,-0.438,0.137,-0.157,0.225,0.19,0.197,-0.255,-16.366,-2.725,-4.635,-12.097,-0.046,-0.191,-0.103,-0.209,-0.218,-0.245,-13.077,-2.989,-4.793,-10.653,-0.152,-0.103,-0.141,-0.154,-0.158
151,38669978,Y,161163,-2839096,-197538.5,-425732.5,-427797.75,27,108,-4.75,5.0,-22.75,353,-2545,-191.5,376.5,106.0,495,1809,-254.25,189.0,238.5,463,4435,-103.75,-335.0,133.5,-218.809,-2.422,-73.039,-30.071,69.904,116591,249420,-38898.0,-25789.5,-129582.75,-0.257,-0.4,-0.19,-0.133,-0.016,-0.074,0.277,0.15,0.418,0.324,0.61,5.722,-0.208,-1.28,-3.717,-0.259,0.132,-0.12,-0.056,-0.025,0.677,7.375,-0.104,-0.807,-3.534,-0.045,-0.033,-0.029,-0.044,-0.018
152,38670017,N,1209187,650775,1456722.75,1111692.5,776180.5,9,491,84.75,229.0,443.75,103,8173,644.75,2874.5,6543.5,32,4901,683.0,1915.5,3265.75,97,9492,1162.75,4465.0,7924.0,-323.907,4.296,-102.004,-102.596,-172.221,19905,1809911,258691.25,629241.0,1435415.5,-0.137,0.194,0.074,0.37,0.334,0.022,-0.652,-0.225,-0.061,0.118,0.191,22.806,2.741,10.795,13.657,-0.132,-0.093,-0.091,-0.15,-0.294,0.152,20.618,3.401,12.553,13.809,0.053,-0.179,0.067,0.054,-0.018
153,38670082,N,-1861390,1691419,407203.25,593331.5,1532628.5,-62,281,60.75,91.5,220.5,-617,9307,553.0,1452.0,7291.25,-567,3360,-154.5,987.5,3164.5,-1007,4428,1417.0,1323.0,1757.75,-108.064,88.5,-81.391,-23.558,35.593,-240440,1200783,256789.0,325673.5,648065.5,-0.244,1.919,0.036,0.414,0.506,-0.329,0.501,-0.144,-0.247,-0.039,-2.733,10.113,0.685,0.926,2.075,-0.167,-0.186,-0.035,-0.013,-0.055,-2.227,8.982,0.297,-1.474,3.78,-0.03,0.397,-0.003,0.032,0.076
154,38670407,Y,751278,-3720568,-432109.75,-60554.0,259356.0,1,-1143,17.5,-1.0,-81.0,8,-16711,506.0,-210.5,-1602.0,7,-15139,214.25,119.0,-1276.75,62,-34135,283.25,-116.0,-1628.25,-22.585,266.787,-3.308,-0.332,-69.385,1373,-3984411,59176.25,-17666.5,-307971.25,-0.06,0.46,0.025,-0.058,-0.092,-0.116,-0.015,0.173,0.183,0.096,0.022,-33.698,0.128,-0.589,-5.732,0.025,0.198,-0.044,-0.061,-0.091,0.135,-47.852,0.203,-0.543,-5.273,0.08,0.193,-0.005,-0.023,0.092
155,38670719,Y,-330688,-321225,164769.0,436959.0,1133373.75,7,-113,50.25,106.0,-20.5,54,-1161,662.75,1258.0,-467.25,21,-1457,353.75,802.0,171.0,77,-3338,1013.0,1865.5,324.0,227.882,-206.721,103.868,-0.01,-57.107,12403,-468826,166270.0,326810.0,17171.25,0.664,-0.316,0.43,0.478,0.365,0.036,-1.519,-0.094,-0.412,-0.682,0.088,2.742,2.105,3.813,1.316,0.217,-0.338,0.113,0.009,-0.115,0.16,3.03,2.079,4.258,1.065,0.667,0.045,0.29,0.174,0.128
156,38670756,N,-284402,-978713,-1077296.25,-815164.5,-614745.75,-114,7,-151.25,-137.5,-142.5,-1056,-403,-1352.75,-1563.0,-1696.75,-1020,-324,-1064.25,-972.0,-1366.5,-1424,-2678,-2642.0,-2934.0,-1777.0,190.163,11.118,-25.476,15.469,21.113,-334881,73022,-567808.75,-484864.5,-473730.5,0.158,-0.255,0.263,0.482,0.335,-0.038,-0.336,0.104,-0.059,-0.135,-2.988,-6.044,-4.951,-4.824,-5.002,0.059,-0.215,-0.015,-0.06,-0.091,-2.61,-6.224,-4.689,-5.288,-4.727,-0.07,-0.056,-0.114,-0.087,-0.081
