Unnamed: 0,match_id,p_total_time_played_min_diff,p_total_time_played_max_diff,p_total_time_played_mean_diff,p_total_time_played_std_diff,ph_wins_min_diff,ph_wins_max_diff,ph_wins_mean_diff,ph_wins_std_diff,ph_kills_min_diff,ph_kills_max_diff,ph_kills_mean_diff,ph_kills_std_diff,ph_deaths_min_diff,ph_deaths_max_diff,ph_deaths_mean_diff,ph_deaths_std_diff,ph_assists_min_diff,ph_assists_max_diff,ph_assists_mean_diff,ph_assists_std_diff,ph_damage_per_min_min_diff,ph_damage_per_min_max_diff,ph_damage_per_min_mean_diff,ph_damage_per_min_std_diff,ph_time_played_min_diff,ph_time_played_max_diff,ph_time_played_mean_diff,ph_time_played_std_diff,ph_total_kd_min_diff,ph_total_kd_max_diff,ph_total_kd_mean_diff,ph_total_kd_std_diff,ph_kd_ratio_min_diff,ph_kd_ratio_max_diff,ph_kd_ratio_mean_diff,ph_kd_ratio_std_diff,ph_time_played_ratio_min_diff,ph_time_played_ratio_max_diff,ph_time_played_ratio_mean_diff,ph_time_played_ratio_std_diff,ph_damage_per_min_ratio_min_diff,ph_damage_per_min_ratio_max_diff,ph_damage_per_min_ratio_mean_diff,ph_damage_per_min_ratio_std_diff,ph_assists_ratio_min_diff,ph_assists_ratio_max_diff,ph_assists_ratio_mean_diff,ph_assists_ratio_std_diff,ph_win_rate_ratio_min_diff,ph_win_rate_ratio_max_diff,ph_win_rate_ratio_mean_diff,ph_win_rate_ratio_std_diff,target
321,38694420,-622918,-2683465,-532810.33,-781614.72,-5,-452,-120.17,-166.22,-69,-4301,-1367.0,-1508.4,-25,-5084,-1295.33,-1870.54,-124,-10057,-2801.83,-3712.96,-70.4,28.62,-39.13,41.14,-18357,-1717781,-442940.5,-632313.58,-0.28,-0.34,-0.2,-0.09,0.02,0.57,0.22,0.13,-0.24,-17.28,-4.57,-6.36,-0.08,0.01,-0.02,0.03,-0.33,-17.13,-4.9,-6.21,-0.03,0.5,0.08,0.2,Y
653,38728422,-202945,-424576,-288347.83,-64780.98,5,356,176.0,151.72,15,3619,1894.83,1656.6,-8,3874,1819.33,1758.51,10,8598,3702.0,3433.24,68.06,173.32,-51.86,24.06,2221,1368267,606253.33,537099.29,0.02,0.89,0.21,0.31,-0.26,-0.17,-0.19,-0.07,0.02,16.48,6.68,6.25,0.08,-0.02,0.04,-0.02,0.03,13.62,6.45,5.62,0.17,0.58,0.12,0.17,Y
142,38669091,289336,-594635,-122578.0,-204477.72,3,105,108.67,37.73,35,-844,1049.83,-129.26,-51,-299,1057.83,-202.08,53,9034,3535.0,3359.74,-333.86,67.96,99.01,151.86,2639,120874,305335.33,47955.68,-0.29,-0.16,-0.2,0.11,0.04,0.33,0.16,0.08,0.2,7.36,1.95,1.36,-0.28,0.1,0.08,0.13,0.32,7.87,3.17,2.57,0.23,0.15,0.16,-0.04,Y
141,38668943,29462,585774,398693.33,-73241.87,2,-160,-71.5,-71.62,-24,-4810,-1258.0,-1833.8,-1,-2182,-704.5,-907.08,14,-1677,-1130.33,-1000.96,-335.78,-49.06,-117.6,70.17,3640,-570721,-235112.67,-241612.26,-0.55,1.39,-0.16,0.68,-0.22,0.91,0.29,0.45,0.1,-3.9,-1.61,-1.58,-0.25,-0.03,-0.02,0.05,0.09,-3.49,-1.56,-1.46,-0.13,0.35,-0.07,0.18,Y
405,38702715,837088,-2378005,-75970.0,-1201203.11,59,-686,-44.0,-308.1,665,-12662,-1027.33,-5322.97,765,-8497,-781.5,-3756.41,1338,-9251,-465.5,-4359.46,58.68,79.9,-8.9,-6.02,224346,-2544307,-219096.67,-1137357.39,0.17,-0.0,0.13,-0.06,-0.03,-0.18,-0.16,-0.06,2.18,-25.65,-1.18,-10.78,0.08,0.0,0.04,-0.03,2.03,-24.37,-0.92,-10.0,0.17,0.14,0.13,-0.0,Y
320,38694330,206541,2391700,171712.83,682978.63,1,-30,6.83,-1.93,40,812,192.33,283.15,16,399,133.83,63.15,-1,-2200,-173.67,-720.25,-199.4,23.98,-10.8,91.39,7391,-10882,32680.5,-5454.9,-0.14,0.01,-0.14,0.02,0.14,0.18,0.15,0.03,0.13,-0.54,0.45,-0.2,-0.11,0.03,0.01,0.07,0.12,-1.9,0.25,-0.6,-0.12,0.09,-0.08,0.06,N
19,38652017,671180,1391231,771976.5,291398.83,99,383,246.17,119.47,756,7510,4006.0,2750.4,823,5627,2980.5,1721.64,2573,5559,4343.17,1149.94,149.42,97.07,92.3,-26.59,386234,1270834,830561.83,386983.54,0.4,-0.39,0.08,-0.22,0.15,-0.59,-0.12,-0.24,4.3,30.81,10.87,10.39,0.18,-0.02,0.04,-0.08,4.69,37.65,11.94,12.77,0.04,0.0,0.01,-0.01,Y
172,38672960,-561707,559602,-96755.33,325709.79,-23,-320,-116.17,-142.23,-235,-1427,-393.67,-310.42,-233,-2955,-1090.17,-1339.16,-441,-9966,-3042.0,-4103.22,383.48,129.6,159.75,-95.2,-74397,-1177540,-447782.17,-544953.13,-0.28,0.14,0.12,0.14,-0.22,1.94,0.26,0.77,-0.76,-8.65,-4.62,-4.95,0.29,0.16,0.17,-0.04,-0.79,-10.38,-4.59,-5.23,-0.23,0.1,0.0,0.11,N
583,38722310,601295,-790895,636571.67,-478356.27,-16,364,170.5,97.58,44,6991,3429.67,2178.91,9,5660,2384.67,1539.82,-328,1229,2164.5,127.27,108.48,107.46,119.64,-2.24,-38272,1022035,599821.33,277921.65,0.07,-0.54,-0.01,-0.22,0.17,-0.09,-0.02,-0.08,-0.7,7.22,2.7,2.19,0.15,-0.08,0.09,-0.08,-1.07,4.31,2.32,1.41,-0.01,-0.09,-0.05,-0.0,Y
312,38693250,-16242,-2570051,-1366327.0,-796420.79,0,-223,-62.17,-80.98,-15,-2545,-736.5,-891.76,-14,-1665,-645.67,-656.86,-40,-6626,-2055.0,-2563.72,135.02,146.81,138.14,25.74,-2618,-757974,-244284.0,-285446.96,0.2,0.05,0.22,-0.0,-0.16,-0.54,-0.26,-0.14,-0.02,-10.2,-2.99,-3.57,0.22,0.28,0.15,0.03,-0.03,-12.54,-3.63,-4.37,-0.14,0.59,0.19,0.25,Y
659,38728846,412915,533637,-268174.33,51146.65,-32,-303,-114.0,-107.82,-379,-4435,-1528.0,-1534.17,-238,-3057,-1004.5,-1037.12,-817,-6553,-2627.33,-2412.2,-239.85,-337.64,-161.78,-21.85,-133534,-955742,-394256.17,-335659.67,-0.5,-0.06,-0.3,0.17,-0.08,0.7,0.18,0.27,-1.81,-5.93,-3.83,-1.76,-0.14,-0.18,-0.1,-0.01,-2.01,-7.65,-4.39,-2.33,-0.01,0.17,0.03,0.08,Y
