Unnamed: 0,match_id,p_total_time_played_min_diff,p_total_time_played_max_diff,p_total_time_played_q25_diff,p_total_time_played_median_diff,p_total_time_played_q75_diff,ph_wins_min_diff,ph_wins_max_diff,ph_wins_q25_diff,ph_wins_median_diff,ph_wins_q75_diff,ph_kills_min_diff,ph_kills_max_diff,ph_kills_q25_diff,ph_kills_median_diff,ph_kills_q75_diff,ph_deaths_min_diff,ph_deaths_max_diff,ph_deaths_q25_diff,ph_deaths_median_diff,ph_deaths_q75_diff,ph_assists_min_diff,ph_assists_max_diff,ph_assists_q25_diff,ph_assists_median_diff,ph_assists_q75_diff,ph_damage_per_min_min_diff,ph_damage_per_min_max_diff,ph_damage_per_min_q25_diff,ph_damage_per_min_median_diff,ph_damage_per_min_q75_diff,ph_time_played_min_diff,ph_time_played_max_diff,ph_time_played_q25_diff,ph_time_played_median_diff,ph_time_played_q75_diff,ph_total_kd_min_diff,ph_total_kd_max_diff,ph_total_kd_q25_diff,ph_total_kd_median_diff,ph_total_kd_q75_diff,ph_kd_ratio_min_diff,ph_kd_ratio_max_diff,ph_kd_ratio_q25_diff,ph_kd_ratio_median_diff,ph_kd_ratio_q75_diff,ph_time_played_ratio_min_diff,ph_time_played_ratio_max_diff,ph_time_played_ratio_q25_diff,ph_time_played_ratio_median_diff,ph_time_played_ratio_q75_diff,ph_damage_per_min_ratio_min_diff,ph_damage_per_min_ratio_max_diff,ph_damage_per_min_ratio_q25_diff,ph_damage_per_min_ratio_median_diff,ph_damage_per_min_ratio_q75_diff,ph_assists_ratio_min_diff,ph_assists_ratio_max_diff,ph_assists_ratio_q25_diff,ph_assists_ratio_median_diff,ph_assists_ratio_q75_diff,ph_win_rate_ratio_min_diff,ph_win_rate_ratio_max_diff,ph_win_rate_ratio_q25_diff,ph_win_rate_ratio_median_diff,ph_win_rate_ratio_q75_diff,target
414,38704062,-9517,-623077,-1174102.0,-993825.5,-569619.75,11,-356,-186.25,-268.5,-315.5,89,-4520,-2337.0,-3237.5,-3646.0,185,-3513,-1498.5,-2358.5,-3148.0,208,-7298,-4284.25,-5782.0,-6615.25,37.29,365.61,-103.43,-3.7,147.7,42487,-1317181,-660417.5,-987121.0,-1126749.75,-0.18,0.16,-0.29,-0.53,-0.06,-0.07,0.56,-0.02,0.24,0.26,0.34,-9.68,-4.9,-10.61,-12.86,-0.11,0.41,-0.08,-0.07,0.23,0.24,-9.44,-4.68,-10.22,-13.3,0.02,0.07,0.16,0.19,0.18,Y
150,38669722,724931,-1278331,438579.5,480311.5,464898.0,-3,-289,-21.75,-133.5,-228.75,-35,-4274,-309.25,-1848.5,-3182.25,-38,-1704,-342.5,-961.5,-1829.5,-83,-5871,-569.0,-1749.0,-2149.0,48.96,-73.16,42.3,-69.71,-84.38,-9007,-999400,-85715.25,-371626.0,-610715.75,0.01,-0.24,-0.08,-0.07,-0.44,0.14,-0.16,0.22,0.19,0.2,-0.26,-16.37,-2.72,-4.64,-12.1,-0.05,-0.19,-0.1,-0.21,-0.22,-0.24,-13.08,-2.99,-4.79,-10.65,-0.15,-0.1,-0.14,-0.15,-0.16,Y
433,38706334,165012,633437,546075.0,191864.5,125517.5,16,173,16.25,-17.5,-73.75,180,1217,183.75,677.0,-345.5,100,5962,274.25,229.0,48.75,276,510,515.75,-548.0,-2467.5,162.46,-283.03,68.44,-17.96,-64.74,56907,577048,87101.25,-14649.0,-87438.75,0.36,-0.39,-0.42,-0.53,-0.31,0.11,-0.26,0.33,0.65,0.57,0.73,-0.23,1.06,-0.25,-1.95,-0.04,-0.12,-0.13,-0.1,-0.07,0.62,0.37,1.09,-0.29,-2.64,-0.02,-0.25,-0.02,-0.23,-0.27,Y
671,38730188,393876,500199,541743.5,670276.5,655308.25,5,-374,-117.5,-217.0,-211.5,65,-2314,-1513.5,-2976.0,-2598.0,60,-3627,-696.75,-2510.0,-2380.0,48,-10158,-1710.5,-4249.5,-4826.5,312.04,230.17,-160.33,-74.58,85.28,19376,-1251597,-276924.0,-739266.5,-654763.0,0.26,-1.54,-0.1,-0.32,0.13,0.07,-0.12,0.18,0.39,0.05,0.15,-14.52,-2.86,-4.82,-3.13,0.18,0.03,-0.12,-0.14,0.02,0.14,-15.81,-3.68,-5.29,-4.36,-0.14,-0.3,-0.1,-0.08,-0.16,N
440,38707530,-828619,-1526848,-554592.75,-264169.5,-844410.75,-7,-326,-70.75,-105.5,-232.5,-117,-4618,-671.75,-1020.0,-3619.0,-141,-2920,-495.25,-783.5,-1716.75,-173,-5878,-1054.0,-2047.5,-3178.25,280.96,146.68,57.31,10.55,1.41,-31218,-1144598,-203838.5,-314407.0,-689074.5,0.18,2.17,0.08,-0.0,0.15,-0.28,0.45,-0.0,-0.13,-0.0,-0.31,-18.08,-2.05,-3.56,-6.23,0.09,0.08,0.15,0.09,-0.03,-0.31,-16.0,-1.99,-3.9,-5.43,-0.06,0.49,-0.12,-0.11,-0.05,Y
673,38730305,-390536,-473028,-414515.5,-131437.5,506794.0,-5,-318,-0.75,-16.0,-218.75,-97,-4838,-188.75,-461.0,-2921.0,-99,-2581,14.0,-156.5,-1819.5,-174,-5938,-61.5,-258.0,-3292.5,-102.18,-36.98,-148.28,-122.59,-60.22,-25457,-1102752,-5496.75,-47072.5,-784070.0,-0.26,0.05,-0.38,-0.55,-0.39,-0.0,0.35,0.09,0.25,0.32,-0.17,-12.8,-0.24,-0.32,-6.01,-0.08,-0.03,-0.04,-0.06,-0.05,-0.2,-12.54,-0.21,-0.47,-6.06,0.05,0.37,-0.0,0.12,0.17,N
266,38688137,369901,-545568,257032.25,-1395.5,-252820.5,5,82,65.25,29.0,-20.0,223,147,575.0,422.5,591.0,149,841,552.25,311.5,-257.0,528,-86,551.25,140.0,-27.5,12.08,-179.47,-70.64,-71.05,-89.97,68914,207723,178063.0,88824.0,-226909.75,0.08,-0.78,-0.02,0.07,-0.11,0.08,-0.01,0.13,0.06,-0.06,1.1,1.5,1.3,-2.43,-6.08,-0.04,-0.43,-0.03,-0.03,-0.19,1.12,-0.79,1.0,-3.43,-7.32,0.03,-0.22,0.05,0.03,-0.05,N
616,38725653,-103401,-1443914,633612.75,830477.0,424138.0,27,166,28.5,27.0,11.25,464,4474,618.0,289.0,-48.25,308,2818,291.0,199.0,-73.75,303,1396,253.5,113.0,-221.75,135.04,253.21,27.27,-18.36,113.53,69844,584280,79078.5,59265.5,7867.0,0.26,0.46,0.1,0.01,-0.05,0.05,-0.56,0.1,0.13,-0.15,0.8,2.6,0.84,0.73,0.21,0.07,-0.04,-0.0,-0.08,-0.01,0.82,2.33,0.77,0.48,-0.28,0.05,0.03,0.13,0.1,0.1,N
359,38698157,553767,515621,314199.5,949491.0,539449.75,-6,-345,-85.5,-117.5,-313.0,18,-6318,-1291.0,-1770.0,-4006.25,31,-2622,-1101.5,-1639.5,-3012.25,-99,-3383,-1280.25,-2225.5,-3590.75,15.04,-47.85,-172.0,-184.61,-53.46,-2100,-909929,-222638.25,-389466.5,-898082.5,-0.12,-0.38,-0.09,-0.17,-0.08,-0.08,0.06,0.12,0.08,0.01,-0.06,-15.8,-2.51,-3.55,-11.06,0.01,-0.01,-0.15,-0.13,-0.09,-0.15,-12.86,-2.65,-4.14,-9.87,-0.19,-0.09,-0.19,-0.16,-0.12,N
628,38726519,-56751,-1919573,-399045.25,-1686959.0,-1533614.25,-1,-21,-2.5,-26.0,-23.25,-39,-572,-56.0,-586.5,-524.5,11,-1051,3.5,-320.0,-347.25,24,-1237,5.75,-481.5,-317.0,-226.37,-297.14,-64.95,-25.5,-294.92,760,-134304,-7834.75,-107437.0,-108468.25,-0.26,-1.89,-0.37,-0.46,-0.44,0.27,0.65,0.33,0.15,0.36,-0.02,0.68,-0.0,-0.56,-0.47,-0.15,-0.14,-0.03,-0.02,-0.21,-0.04,0.24,0.06,-0.08,-0.17,0.05,-0.44,0.11,0.05,0.07,N
