,match_id,team,p_total_time_played_min,p_total_time_played_max,p_total_time_played_q25,p_total_time_played_median,p_total_time_played_q75,ph_wins_min,ph_wins_max,ph_wins_q25,ph_wins_median,ph_wins_q75,ph_kills_min,ph_kills_max,ph_kills_q25,ph_kills_median,ph_kills_q75,ph_deaths_min,ph_deaths_max,ph_deaths_q25,ph_deaths_median,ph_deaths_q75,ph_assists_min,ph_assists_max,ph_assists_q25,ph_assists_median,ph_assists_q75,ph_damage_per_min_min,ph_damage_per_min_max,ph_damage_per_min_q25,ph_damage_per_min_median,ph_damage_per_min_q75,ph_time_played_min,ph_time_played_max,ph_time_played_q25,ph_time_played_median,ph_time_played_q75,ph_total_kd_min,ph_total_kd_max,ph_total_kd_q25,ph_total_kd_median,ph_total_kd_q75,ph_kd_ratio_min,ph_kd_ratio_max,ph_kd_ratio_q25,ph_kd_ratio_median,ph_kd_ratio_q75,ph_time_played_ratio_min,ph_time_played_ratio_max,ph_time_played_ratio_q25,ph_time_played_ratio_median,ph_time_played_ratio_q75,ph_damage_per_min_ratio_min,ph_damage_per_min_ratio_max,ph_damage_per_min_ratio_q25,ph_damage_per_min_ratio_median,ph_damage_per_min_ratio_q75,ph_assists_ratio_min,ph_assists_ratio_max,ph_assists_ratio_q25,ph_assists_ratio_median,ph_assists_ratio_q75,ph_win_rate_ratio_min,ph_win_rate_ratio_max,ph_win_rate_ratio_q25,ph_win_rate_ratio_median,ph_win_rate_ratio_q75,pm_win_first
1082,38718800,Team0,103785,3304523,1458871.0,2141652.5,3037203.0,21,526,69.75,143.0,357.25,164,9878,778.75,2140.0,4318.75,115,7309,807.0,1376.0,3540.25,257,9099,1589.25,2691.5,7054.75,775.3195243445705,1143.6303938666626,871.4995541460603,1006.4590455923601,1032.5246266929512,49045,1722462,235319.5,442214.0,1201697.25,0.9187898089171974,2.1547619047619047,1.0190907620666794,1.2394919415514862,1.407436335191277,0.7402545299280725,1.5063180082759278,1.0255101938362168,1.075113145880159,1.19783901766432,0.49608176827433437,38.72431099556386,2.4663080317290116,5.059093010933245,14.681089931618146,0.9713691278088915,1.2172478715911659,1.046498236991574,1.1157129458645967,1.148432032302559,0.5567490277317185,46.93877718130038,3.178507109419816,5.958172648202538,15.867337655487207,1.0403416041117544,1.490768567542265,1.0658345590086244,1.1007126249143078,1.1136968456238288,Y
1083,38718800,Team1,2084132,4870406,2331056.75,3167766.0,3485686.75,5,477,81.75,140.0,163.0,125,5527,1227.75,1791.5,1981.0,80,4268,815.25,1411.5,1900.5,122,11101,1761.0,2514.5,4409.5,758.7300263877019,882.7371009309395,769.5586109216825,795.0867318431439,837.57276664301,32040,1583870,279051.0,470740.5,585939.0,1.029503105590062,1.59882005899705,1.136454126669303,1.3794448426043333,1.537850935828877,0.9021516185151257,1.1165134529320504,0.949219671994969,1.0750287475439455,1.0872130451512456,0.27370540905815727,9.404884516414562,3.464998132457843,4.977868906191835,5.665219484937749,0.8974464246843324,0.9926404667032995,0.9039230846656076,0.9089540318690311,0.9654226836056476,0.24702760808258728,10.598172466672855,3.8056005651658653,5.109450255376531,7.041417248252874,0.6085645683659519,1.1770008174014857,0.9738259212949246,1.0192114230079898,1.0653206802178912,N
1084,38718957,Team0,743366,3438505,916771.0,1034349.0,1200724.25,11,160,22.25,69.5,115.25,70,2885,339.25,1182.0,1698.5,84,1857,249.0,914.5,1625.0,176,2334,498.5,1295.0,2192.0,755.1566906754341,1274.1436520793482,810.7994861892452,934.8457590894066,1074.4413148958922,25437,499612,71860.5,239991.5,411344.5,0.8333333333333334,2.450354609929078,0.9226116941122168,1.0071105365223012,1.5809313428581608,0.5886405576131633,1.481668135214205,0.8909792293502696,1.2353929294521717,1.4462900445299844,0.3058095742581264,4.2679933467654205,0.601339009093487,2.582811314671056,4.004571712341431,0.7214246528798218,1.3617550453201066,0.9563869913847717,1.1018107545555167,1.170505433094017,0.39027997912655077,4.572035565987558,0.6645587054109313,2.439534094819629,4.160057317400604,0.93335075655024,1.4995674201096976,0.9531723601884272,1.048672306888034,1.1560067430610086,Y
1085,38718957,Team1,232297,2893747,748661.75,2221445.0,2335504.25,6,139,21.25,48.5,78.0,73,2891,241.75,499.5,839.75,59,1656,179.75,431.0,641.0,60,2052,358.5,896.5,1516.25,665.4264950457427,1070.7487027412467,845.0995630805254,903.0594306009554,1015.8730176379898,18103,428505,58943.75,142152.5,243488.0,1.097457627118644,1.7457729468599035,1.1959035035468675,1.294340662223855,1.4372271792012001,0.8047971481038095,1.2512546962123703,0.840601709544476,0.918684308042859,1.1610005329949529,0.18310874199348098,3.2626258421913454,0.5270567191374737,1.4457431827762095,2.862884184649936,0.8355172782172213,1.2287950182083045,0.983572649697631,1.0652841401881283,1.1883758083189488,0.12998031775837787,3.5450078672942436,0.6255330265922429,1.737562417926222,3.2104748899129323,0.9228567322880689,1.3824320701107788,1.005930908027118,1.0645312242645248,1.1670861135119908,N
1086,38718992,Team0,346225,6155641,591473.0,2478625.0,5536095.0,24,1586,130.25,342.5,473.75,313,23428,1725.0,4142.0,4803.25,204,21072,1463.25,3529.0,3713.0,531,38150,2518.0,6613.0,9772.75,631.6657436214659,1019.5285361243496,776.6025453651202,827.0353631279735,884.5517451904816,80901,5644578,442720.5,1266887.0,1636366.0,1.0688775510204083,1.5343137254901962,1.1534729168145477,1.2884137178338144,1.3339441338872078,0.6663256840987692,1.293001421941808,0.992253345156371,1.0698946583566422,1.1593063808319748,1.1089638555298635,46.338709688649246,2.89321427680868,10.433647877086221,18.864783684962937,0.9082405772131493,1.1700145728904527,0.9412707464729884,1.0252590642640258,1.0881385070796268,1.3124273531110513,54.78808432046873,3.0838887059542905,10.356077485185429,17.419432286870475,0.9597710015795916,1.2523176734836692,1.0161612070655996,1.0497529674386359,1.068397100770658,Y
1087,38718992,Team1,1148156,3716501,1381475.0,2743965.0,3615086.5,8,292,25.25,64.5,113.5,70,1672,339.25,850.5,1249.25,62,3005,290.5,709.5,1458.5,148,7620,528.75,1363.5,2492.25,370.7353716281348,1014.107183926568,863.7745773138481,917.2922112087881,962.9943641812437,19152,987387,95408.75,247706.5,419174.25,0.5564059900166389,1.5030959752321982,0.8327143646989266,1.0367024162250136,1.1935952738184545,0.7535062883247481,1.9680900367294507,1.0239995205709207,1.1666945534773838,1.3093057063863143,0.19615185652645536,14.401939809972864,1.051237299283591,2.804072593475947,4.571432212558016,0.5264945404978991,1.348728718147837,0.9346596245518657,1.0651991054282384,1.1149611493680671,0.26389943708822194,16.559730663823114,1.0232952071037416,2.7992104358406245,4.554611164299697,0.8810509296745801,1.4014797868934221,1.0175386734921075,1.0820805775008402,1.1255388752548914,N
1088,38719037,Team0,306244,2613088,1273844.5,1628542.5,2377867.25,34,195,47.25,73.5,96.75,408,4273,582.5,993.0,1706.5,460,2082,698.75,1065.5,1723.25,677,2459,1020.25,1444.5,1963.25,735.2105197088101,1106.5347096250468,853.8015930005258,871.6224951483134,978.7914168166993,117804,635052,154737.25,249369.0,390554.75,0.6276923076923077,2.052353506243996,0.8440782496097967,1.0018156597743157,1.1550544323483671,0.7214362090303721,1.7327015777175818,1.0633192697069553,1.1957187389618498,1.4912972631501151,1.065517177722274,4.835269288188699,1.3233336799106266,2.3144288690542654,3.717273147517324,0.9860622982278129,1.2698631669418063,1.0230449913442272,1.0473929334312726,1.0921124150684136,1.2071616142481505,4.248135646041201,1.3424658947822636,2.291133250486257,3.68518726883671,0.8889983722831409,1.1487300323348195,0.9244281360560554,1.0530790347981074,1.1028279172478705,Y
1089,38719037,Team1,495368,2706414,1635495.5,1907770.5,2326838.5,8,75,14.5,26.0,55.5,81,1198,229.75,546.5,1025.25,116,1118,160.25,250.0,441.75,199,1465,307.75,574.0,1073.5,743.9223627113743,1389.6088590880772,840.3074522121655,931.4441919802646,982.9688140176439,30451,295923,53673.75,86807.0,184327.0,0.6982758620689655,3.564853556485356,0.9347022597824522,1.3276306303900889,2.2114824284949752,0.31771074220780093,1.519364663420778,0.7371024457507662,1.0345862942562791,1.199318243814399,0.3327864565646694,3.0945890693226334,0.5369581506997005,0.9590533056248357,2.2619610410625004,0.9458526590732331,1.8481334172073594,1.0094180506387616,1.117604513397191,1.1655095955229489,0.353770704753218,2.85028166713216,0.5764705669703288,1.0476259729435506,2.2914559224488777,0.9541517872666115,1.2141621385281263,0.9556223168182311,0.9612966153319995,1.0492922729170109,N
1090,38719134,Team0,469302,2864409,766597.0,1147761.5,1893178.5,29,293,96.25,181.0,273.25,509,4541,1112.0,2034.0,3380.5,294,3882,834.25,2436.0,3317.75,529,6563,1914.25,3874.0,5629.75,837.7229450599815,1124.6777731497623,903.0047444404624,1003.5794359888332,1048.9748033604346,93627,968614,282732.0,598805.0,893663.5,0.73541791942273,1.9265232974910393,0.9302070308369814,1.1154394531340004,1.5909088519488166,0.8279537875268601,1.442629615253398,0.8754526553635725,1.0404019489144893,1.3289319239663708,0.7128735247589856,14.128118485555367,3.549539133214268,6.054981907891869,10.300148450523587,1.0744396257292046,1.2389381547150764,1.0957839451420943,1.1489193322416444,1.2022151063321387,0.9138933537030481,14.553451721633822,4.191975953402017,7.097977080019318,11.88141110014462,1.0321174975101868,1.221122297747263,1.0966180683557083,1.1079810141539068,1.1318755076232123,Y
1091,38719134,Team1,172635,3240549,367734.5,1119662.5,2598326.25,2,50,6.0,12.0,21.75,35,534,68.0,171.0,353.5,21,361,62.5,171.5,289.5,45,783,104.0,222.0,350.5,842.0451002328377,1097.5865467157191,914.7947017139531,993.4908769140213,1053.124020316669,8453,122847,18087.75,40173.0,69066.75,0.9367088607594937,1.6666666666666667,1.0508373205741628,1.2198869657364888,1.4298880812061947,0.8374531219028145,1.2462968853875565,0.920312063593789,1.0702429577602786,1.1623204200676858,0.09145338732823995,1.2581801962565509,0.17521955321873947,0.4226485170564011,0.7036150601431218,0.9341020252501527,1.2403275884490785,1.0711898617819793,1.091740699255431,1.1495942906524468,0.09597773172024872,1.3961706705410661,0.2012430954077908,0.4344932436549973,0.7426899605846097,0.7142863643131246,1.4618962324026197,0.8546284870808915,1.0255778977387284,1.243520688306037,N
1092,38719255,Team0,127381,4961897,891617.0,1402263.5,2262979.25,12,265,13.75,19.5,74.0,115,3127,184.25,386.5,1621.5,125,3033,143.25,301.5,939.0,196,7465,338.75,363.5,1451.75,651.5544625857757,1194.723323612816,751.631369614594,828.3684728355852,963.0689941571429,32524,961413,49088.25,73730.0,324016.75,0.9126984126984127,1.841025641025641,1.0096764705882353,1.0228491495510172,1.6179631579507143,0.8042485124270136,1.4010828990091753,0.9446971645780544,1.0145669833291426,1.116724784204905,0.4968803160653085,9.424497655402746,0.5659161012596344,0.7636622361401314,4.675555620711036,0.9127769296225279,1.3710687339001753,1.00293860438727,1.0552388628980236,1.0806906638593525,0.5672417558418869,11.42880666091814,0.6609096586137906,0.8037792482758372,4.1247229917454,0.9623811778810402,1.3771896123831049,1.004902979646659,1.0708952160428309,1.1011574847048062,Y
1093,38719255,Team1,47825,3347556,98156.25,144671.5,958733.0,4,22,9.0,16.0,20.0,60,264,131.0,204.5,259.25,31,216,86.75,143.0,194.75,114,461,158.25,271.0,274.25,563.1890789158359,1146.1704162781562,722.604719255381,930.292099090798,1080.791898149269,17689,83476,25107.25,47465.0,53160.0,0.7175925925925926,3.967741935483871,0.9531217803420564,1.5060053236382522,1.8502690802348336,0.294227133382634,1.2620868122506048,0.7059267626730485,0.8942598338305663,1.0985940897916868,0.19999679331782164,1.3870493347718051,0.26361074326946204,0.4583403470019332,0.5053818170713086,0.7367160674314188,1.298982247809787,1.0075421508797466,1.079088937685749,1.1783197296701138,0.20864219742100593,1.4767361955407077,0.2978987414855008,0.5167959869115224,0.5686076368812264,0.7891275874300065,1.4781395238737598,0.997112674219338,1.1451357644524505,1.3950847632587406,N
1094,38719315,Team0,658377,3278754,1337478.75,1846126.5,2496819.0,18,314,132.75,202.0,225.5,344,6375,2359.0,3260.5,5173.0,204,6676,1634.0,2157.0,2686.75,362,5776,2088.75,4093.5,5016.75,757.9706884983009,1298.651431071457,990.130288300221,1046.8708137895755,1158.2415778626805,60674,1084087,444822.0,718015.0,839386.25,0.8641402037147993,2.885921231326392,1.2474916986674571,1.455793585572604,1.6371524381724187,0.42088015947406876,1.3176641088269527,0.7632656568281854,0.9679082768150362,1.0264205374401465,0.5615453715701086,11.3367456412471,3.5449580789664696,6.527423482369558,8.765197786760217,0.9057831067069612,1.50834650572229,1.1051868399028177,1.2167823493199665,1.363242924309397,0.6916545783780266,11.237697549048024,3.848138187686656,7.969498232605454,9.72667873609689,1.0491310305351058,1.164694106464402,1.0646846680933444,1.0726657914005384,1.080158133795819,Y
1095,38719315,Team1,228604,3083664,1515679.75,1660630.0,2277082.75,7,426,16.0,27.0,188.75,70,6109,181.0,289.5,1466.75,83,5649,110.0,324.5,1383.5,107,8006,384.25,640.5,4853.0,535.8587607433209,957.9633563172958,748.4134029741383,765.8612855229212,810.7011360350377,20762,1519375,53513.25,95882.0,583427.5,0.8329764453961456,2.2093023255813953,0.8770356149874222,1.0295675313437302,1.081351027406413,0.6694959548255864,1.3656770780048206,1.006149259097366,1.0433783683790832,1.12332623462291,0.34498440615904236,12.473187018266282,0.5427260158885532,2.0329225314679924,8.880624307235493,0.5590322850667295,1.2675310723367674,0.9389155139637619,1.022496606701234,1.0519350566660697,0.3427565573163899,13.449891480105151,0.653883149925096,2.3763915498889023,9.578915654311018,0.8682282338936965,1.3528150839263722,0.9576060347968738,1.1345019379361685,1.2073617900629507,N
1096,38719367,Team0,828878,3227511,905282.25,1784589.0,2765566.5,37,314,76.25,134.0,266.75,516,6114,604.75,1076.0,3563.25,232,4648,416.5,1023.0,1916.0,428,7430,1325.0,3160.5,5313.25,508.5545665511894,1038.4589481452922,662.0745992866584,860.3852797931597,966.2326304946939,98543,1226939,176542.75,409859.5,959050.75,0.9167383820998278,3.0192592592592593,1.0105722052458574,1.4796330584076753,2.091180371352785,0.5413474242719885,1.3950917796926054,0.7124542811057961,0.8404958004099753,1.0184255513368392,0.9602498308396402,18.093170320207566,1.5535256072661954,5.031880186966729,13.037238821429089,0.7222165008388891,1.2135793369581382,0.9195271585875171,1.0532353974071351,1.167748593495336,0.9271929333430955,15.88461880698928,1.8404144887987364,5.8736643384362655,12.94467771898315,1.0319899972208766,1.5005114812449478,1.074127755181311,1.1421254810019406,1.3692732762390636,Y
1097,38719367,Team1,231304,3386954,1163371.25,2342460.0,3330724.0,15,688,36.25,73.0,124.0,195,10785,551.75,1039.0,2025.75,67,7538,381.0,912.5,1341.25,189,12107,591.25,1390.0,2436.25,818.7693463943915,1186.7750869185795,877.0608104030601,1078.237514975687,1113.4225063713425,32107,2392097,123782.0,241045.5,392872.0,1.0137096774193548,2.91044776119403,1.4102518181385255,1.4533946004779192,1.6137368573918094,0.5082101076284862,1.2159746914753031,0.7478571035630743,0.7975371086555436,0.970629155669992,0.3473670775994085,25.015146605567878,1.2829484302828065,2.94778897934621,3.9605684212247256,0.9505257721873002,1.2160823765693511,1.0642028615843193,1.1455992254276,1.182905492556603,0.4031064732250446,23.55519463752154,1.2016108732571296,3.0838260439715297,4.714137796610456,1.016721733765982,1.2755113648448653,1.0400002337207221,1.0756236926340503,1.157519887928966,N
1098,38719556,Team0,87555,2052262,328182.75,673114.0,756725.0,1,68,6.25,27.5,46.5,11,1254,92.5,464.0,783.0,5,1200,72.0,253.0,449.0,14,1312,97.0,345.5,723.0,803.8987414267339,1262.4113580528876,879.7271078063524,918.9560111918523,980.5504691089258,2705,298584,16799.5,76436.0,150246.75,0.4461538461538462,3.043010752688172,1.1335330802603036,1.7031981217796872,2.1518159806295403,0.45079972711342936,2.4333481540187614,0.6079546204498174,0.9045979555685133,1.28491391422823,0.0325201438207427,2.550688385088041,0.2538998938722426,0.823630979135012,1.444465650663206,0.859245123915496,1.482516602323434,1.0178980878888853,1.0602268447368353,1.1409710459732327,0.031044998339611992,2.65655919511766,0.2945866559183063,0.9073946248126092,1.5234846644622908,0.9196086810863272,1.4315749150222157,0.9758462598579789,1.0651062897900736,1.1244585618530305,N
1099,38719556,Team1,848936,3427240,1300181.75,2386797.0,3170967.25,6,542,58.5,123.5,196.75,58,6463,707.5,1623.5,2756.25,71,4115,633.75,1117.0,2150.75,189,10338,1081.75,2049.5,4726.5,776.9055325339731,955.6721306719298,807.7232188510613,850.8825290656059,886.8859665687744,21759,1544170,185389.25,343524.5,718531.25,0.8169014084507042,1.5886031966643503,1.1078047061374972,1.2143271388388484,1.4829088486173272,0.7348703176040141,2.000814549101103,0.8270401797150939,1.0201195011744217,1.124301806389371,0.26784266952623054,15.815153106331275,1.777183621030108,3.434364508814199,5.054716984746932,0.8736325567211342,1.0614927888572459,0.9290444459570584,0.9811429479880432,1.0085891615305391,0.40406365471345546,18.433732301473235,2.0770712144205485,3.6815174331408724,5.622731331359411,0.9162008206586126,1.3729312084440777,0.9725086628957604,1.075824372415239,1.1663369237201084,Y
