,account_id,match_id,team,hero_id,pm_kills,pm_deaths,pm_assists,pm_denies,pm_net_worth,winning_team,pm_win,p_total_matches_played,p_total_kills,p_total_deaths,p_total_assists,p_total_avg_kd,p_total_win_rate,p_total_time_played,matches_played,ph_wins,ph_kills,ph_deaths,ph_assists,ph_damage_per_min,ph_time_played,ph_total_kd,h_total_kd,ph_kd_ratio,h_avg_total_time_played,ph_time_played_ratio,h_total_damage_per_min,ph_damage_per_min_ratio,h_total_assists,ph_assists_ratio,ph_win_rate,h_total_win_rate,ph_win_rate_ratio
2576,297273074,38728546,Team0,2,6,6,12,2,36435,Team0,Y,1651,9682,7781,16615,1.2443130702994474,0.5251362810417929,3271887,799,440,4573,4004,8886,994.955095718858,1569163,1.1421078921078922,1.2387810722883739,1.0846445251350643,97638.63742690059,16.071127592033328,944.0723000913416,1.053897138622321,560.8196881091618,15.844664851121218,0.5506883604505632,0.570825214520798,0.9647232575611793
2577,158043057,38728546,Team0,15,7,2,13,1,28631,Team0,Y,839,6890,4746,9318,1.4517488411293722,0.5423122765196663,1552970,495,282,4349,2936,5957,999.824649310282,922598,1.481267029972752,1.085647637946832,0.7329182490255,121811.28991130821,7.573994173050389,796.4245771979623,1.255391505907485,696.319290465632,8.554983441599795,0.5696969696969697,0.48050379394434084,1.185624290331744
2578,32639412,38728546,Team0,11,5,2,16,0,29902,Team0,Y,1029,3886,5824,13371,0.667239010989011,0.5510204081632653,1838723,996,548,3706,5634,13049,406.4052832303964,1781041,0.6577919772807952,0.8651287366412214,1.3152011069176042,83956.42576028622,21.213873552517086,601.8992293133407,0.6752048572882077,587.0512820512821,22.22804105699934,0.5502008032128514,0.5155685689957777,1.0671728966809015
2579,437146090,38728546,Team1,7,2,6,5,1,24748,Team0,N,605,3495,2839,5799,1.2310672772102853,0.5305785123966942,1094932,28,12,201,105,239,867.0914087276839,51132,1.9142857142857144,1.5073317802673096,0.7874121240202363,98864.75,0.5171914155449743,855.6992662286185,1.013313254958456,461.6083499005964,0.5177549324042052,0.42857142857142855,0.5417959066737625,0.7910200562469161
2580,111701409,38728601,Team0,20,4,7,10,3,25003,Team1,N,1506,10814,10430,17438,1.036816874400767,0.5405046480743692,2730072,31,18,200,178,424,859.7384777272009,56856,1.1235955056179776,1.0609356701472674,0.9442327464310679,91503.12279635259,0.6213558429752994,775.4965681959007,1.108629635495717,562.511246200608,0.7537627076148966,0.5806451612903226,0.5240256389734024,1.1080472368257426
2581,87839692,38728601,Team0,27,7,8,6,1,26364,Team1,N,1549,14810,12288,16021,1.2052408854166667,0.55390574564235,2696130,1062,645,11276,8164,10883,1044.7199932351932,1837866,1.381185693287604,1.2146269880702527,0.8794088977124462,104324.85368477677,17.61676086844284,860.9768552150966,1.2134124011663383,535.1280258203335,20.33718937317238,0.6073446327683616,0.5087967641490806,1.1936880805130392
2582,176077109,38728601,Team1,15,6,4,14,0,24555,Team1,Y,3342,24530,22930,41755,1.0697775839511556,0.5161579892280072,6122248,3078,1586,23428,21072,38150,876.8899307755981,5644578,1.1118071374335612,1.085647637946832,0.9764711894662644,121811.28991130821,46.338709688649246,796.4245771979623,1.1010332376491128,696.319290465632,54.78808432046873,0.5152696556205328,0.48050379394434084,1.0723529389660118
2583,1582656679,38728601,Team1,31,5,2,12,7,27171,Team1,Y,240,2178,1232,2730,1.7678571428571428,0.6541666666666667,449138,16,10,177,83,205,1136.5107238796172,30764,2.1325301204819276,1.3820601933510652,0.6480847234358103,168409.29808714133,0.1826739992947512,842.696537330925,1.3486595393868481,1047.4447396386822,0.19571438209782321,0.625,0.5087617252157195,1.2284729157544123
2584,1124199166,38728601,Team0,12,1,8,5,1,21758,Team1,N,538,2953,3053,6105,0.9672453324598757,0.5353159851301115,1031790,86,51,317,355,1303,440.1806428806632,158132,0.8929577464788733,1.0950570853283332,1.226325758017534,68559.30610932475,2.306499423256159,704.1580550437145,0.625116250148323,460.1524115755627,2.8316704796537424,0.5930232558139535,0.4870134216919983,1.217673331781396
2585,1859387891,38728601,Team1,7,11,2,16,0,40313,Team1,Y,921,7809,6343,8216,1.2311209206999842,0.5602605863192183,1754356,180,109,1348,1093,1404,853.5310625964984,328551,1.233302836230558,1.5073317802673096,1.222191124504577,98864.75,3.3232370485941654,855.6992662286185,0.9974661616321395,461.6083499005964,3.041539435546042,0.6055555555555555,0.5417959066737625,1.1176820424377722
2586,259187167,38728601,Team0,35,1,6,4,2,19220,Team1,N,760,6333,3636,8115,1.7417491749174918,0.5302631578947369,1455323,49,24,297,139,542,897.2351724425977,94571,2.1366906474820144,1.1325922692930812,0.5300684357970986,83183.75561257216,1.1368926457283783,751.8985621654197,1.1932928423996687,473.21744708146247,1.1453508389066156,0.4897959183673469,0.46860752710598474,1.045215644298795
2587,1075151398,38728601,Team1,10,3,3,16,1,30830,Team1,Y,747,7526,4482,7414,1.679161088799643,0.570281124497992,1442745,43,24,377,241,578,1134.4146363812083,86176,1.5643153526970954,1.114764453578859,0.7126213085212335,102012.12151067324,0.8447623549421394,829.2689650335077,1.3679694818138657,653.1740558292282,0.88490961152186,0.5581395348837209,0.4813086155966965,1.1596292208311587
