account_id,match_id,team,hero_id,kills,deaths,assists,denies,net_worth,winning_team,win
102521943,38708824,Team1,58,4,3,7,1,35463,Team1,Y
1922220580,38708824,Team0,13,3,7,4,5,31300,Team1,N
130810431,38708824,Team0,18,3,6,11,2,32900,Team1,N
1822530191,38708824,Team1,25,12,6,15,1,46639,Team1,Y
1051985151,38708824,Team1,1,8,6,8,1,36176,Team1,Y
201404511,38709111,Team0,10,0,3,0,0,2427,Team1,N
1730618776,38709111,Team0,58,1,3,0,0,3007,Team1,N
1072901222,38709111,Team0,1,3,2,0,2,4273,Team1,N
112724001,38709111,Team1,50,4,0,0,1,5929,Team1,Y
130143991,38709111,Team0,6,0,2,3,0,4048,Team1,N
131256035,38709111,Team0,13,0,0,0,1,3379,Team1,N
1557303666,38709111,Team1,16,1,0,0,0,4753,Team1,Y
298155885,38709111,Team0,35,0,1,0,0,3020,Team1,N
1255354474,38709111,Team1,27,0,3,4,0,6481,Team1,Y
1673876903,38709111,Team1,52,0,0,1,0,4531,Team1,Y
1423690634,38709111,Team1,25,4,0,2,0,5889,Team1,Y
1610906733,38709111,Team1,14,2,1,4,2,9899,Team1,Y
298155885,38709236,Team0,35,3,5,1,1,14334,Team1,N
1718651835,38709236,Team0,14,3,6,4,0,12902,Team1,N
1507552094,38709236,Team0,15,1,7,0,0,14537,Team1,N
130143991,38709236,Team1,20,5,0,11,2,29081,Team1,Y
1673876903,38709236,Team1,52,7,1,5,2,23535,Team1,Y
1610906733,38709236,Team0,12,2,8,6,1,22483,Team1,N
1072901222,38709236,Team1,1,3,5,17,4,22519,Team1,Y
260074325,38709236,Team0,50,3,10,3,2,13837,Team1,N
131256035,38709236,Team0,13,1,4,1,1,13363,Team1,N
1255354474,38709236,Team1,10,12,1,9,0,27846,Team1,Y
1557303666,38709236,Team1,6,4,3,9,3,20032,Team1,Y
300886209,38709236,Team1,19,8,3,6,2,22515,Team1,Y
437096783,38709302,Team1,19,2,13,1,0,22841,Team1,Y
1081131742,38709302,Team0,52,6,5,8,0,28448,Team1,N
1224293473,38709302,Team1,7,5,4,1,9,30803,Team1,Y
891136769,38709302,Team1,25,11,1,16,4,42706,Team1,Y
1548096050,38709302,Team0,13,14,5,7,1,28765,Team1,N
1445790234,38709302,Team0,6,0,9,7,0,25248,Team1,N
1041023693,38709302,Team1,16,8,5,9,0,28552,Team1,Y
867492119,38709302,Team1,31,6,4,8,0,28963,Team1,Y
1717058902,38709302,Team0,15,9,7,3,1,27092,Team1,N
912782992,38709302,Team1,2,2,9,8,0,28162,Team1,Y
1533206301,38709302,Team0,12,2,4,8,0,19761,Team1,N
1522309916,38709302,Team0,3,5,4,17,4,29501,Team1,N
102585176,38709312,Team0,25,2,7,4,3,32569,Team1,N
107045812,38709312,Team0,52,1,4,2,6,31190,Team1,N
112958304,38709312,Team1,1,15,1,13,1,39343,Team1,Y
296637832,38709312,Team1,31,5,1,23,4,39231,Team1,Y
143965798,38709312,Team1,16,7,1,18,0,39994,Team1,Y
1681627629,38709312,Team0,14,3,6,0,4,38609,Team1,N
446919781,38709312,Team0,2,1,7,7,3,33124,Team1,N
335879417,38709312,Team1,20,5,4,12,1,38079,Team1,Y
1876201933,38709312,Team1,10,6,0,15,3,39576,Team1,Y
85475388,38709312,Team1,11,2,1,20,4,35604,Team1,Y
913445895,38709312,Team0,18,1,11,4,3,29095,Team1,N
58653665,38709312,Team0,7,0,5,1,8,30686,Team1,N
58834430,38709537,Team1,6,4,7,6,3,30677,Team0,N
167576350,38709537,Team0,19,7,5,11,6,37353,Team0,Y
325425411,38709537,Team1,13,10,7,10,6,36380,Team0,N
211469463,38709537,Team1,15,5,8,9,2,29202,Team0,N
957234943,38709537,Team0,20,6,8,8,0,36829,Team0,Y
925686537,38709537,Team0,11,3,3,9,0,43926,Team0,Y
131256035,38709537,Team0,10,7,6,15,2,36033,Team0,Y
1072901222,38709537,Team0,1,9,4,16,4,47869,Team0,Y
300886209,38709537,Team1,31,3,3,10,1,31383,Team0,N
130143991,38709537,Team0,16,10,6,17,0,37816,Team0,Y
260074325,38709537,Team1,50,3,10,10,5,29624,Team0,N
298155885,38709537,Team1,58,7,7,9,3,32484,Team0,N
891136769,38709613,Team1,15,6,10,13,2,44337,Team1,Y
157085743,38709613,Team0,19,5,8,10,1,37946,Team1,N
1040102159,38709613,Team0,3,7,5,10,4,39117,Team1,N
35207177,38709613,Team1,4,11,4,14,4,51187,Team1,Y
1673876903,38709613,Team0,52,21,6,8,2,53685,Team1,N
440103300,38709613,Team1,27,7,9,14,2,45525,Team1,Y
1118069185,38709613,Team1,25,5,7,16,3,47000,Team1,Y
1557303666,38709613,Team0,14,4,6,17,0,40367,Team1,N
1602245177,38709613,Team0,1,1,10,9,11,34045,Team1,N
1087631765,38709613,Team0,31,5,7,11,6,36019,Team1,N
373553642,38709613,Team1,13,10,4,11,2,49917,Team1,Y
121072866,38709613,Team1,10,3,9,15,4,41336,Team1,Y
1548096050,38709657,Team1,13,11,3,15,1,32109,Team1,Y
166126796,38709657,Team0,31,1,11,6,1,18799,Team1,N
1066264487,38709657,Team1,1,10,2,15,2,37778,Team1,Y
1081131742,38709657,Team0,16,8,6,3,0,27298,Team1,N
216163638,38709657,Team1,10,9,1,26,1,32441,Team1,Y
1620386639,38709657,Team0,14,2,9,5,0,22501,Team1,N
1482863137,38709657,Team0,15,0,12,5,3,21090,Team1,N
1124022148,38709657,Team1,3,8,3,16,3,32213,Team1,Y
1009703898,38709657,Team1,19,13,5,12,1,31991,Team1,Y
303927922,38709657,Team0,27,5,11,2,8,28354,Team1,N
451711628,38709657,Team1,6,6,5,16,3,31297,Team1,Y
1255354474,38709657,Team0,52,2,8,6,2,28653,Team1,N
167576350,38709907,Team1,19,5,13,9,5,29236,Team0,N
1650097169,38709907,Team0,13,19,5,9,1,61005,Team0,Y
26825713,38709907,Team0,10,3,3,22,1,38854,Team0,Y
300886209,38709907,Team1,31,7,7,6,0,32397,Team0,N
58834430,38709907,Team0,6,6,10,15,3,37702,Team0,Y
230517301,38709907,Team0,2,9,5,15,1,51659,Team0,Y
161352007,38709907,Team1,1,2,9,9,1,35882,Team0,N
325425411,38709907,Team0,20,3,3,27,9,43954,Team0,Y
130143991,38709907,Team0,35,5,7,9,0,36795,Team0,Y
131256035,38709907,Team1,50,10,4,11,3,42206,Team0,N
141680443,38709907,Team1,7,7,6,10,6,40428,Team0,N
1752792693,38709907,Team1,3,2,6,15,4,33222,Team0,N
1425284998,38709997,Team0,12,6,7,7,2,24272,Team1,N
1423690634,38709997,Team1,25,3,3,16,4,33000,Team1,Y
191767332,38709997,Team0,20,3,9,5,6,24220,Team1,N
1072901222,38709997,Team1,1,9,3,17,6,39500,Team1,Y
1391556166,38709997,Team1,13,6,7,17,0,33376,Team1,Y
377304826,38709997,Team0,6,1,11,9,0,21870,Team1,N
451711628,38709997,Team1,52,8,5,22,2,37740,Team1,Y
1009703898,38709997,Team1,19,16,5,13,4,35971,Team1,Y
1255354474,38709997,Team0,8,6,6,4,6,36479,Team1,N
166126796,38709997,Team0,50,4,6,7,0,26840,Team1,N
