account_id,match_id,team,hero_id,kills,deaths,assists,denies,net_worth
1845062151,38608340,Team0,18,5,4,9,4,29165
1290664077,38608340,Team1,7,2,6,3,6,32684
117629808,38608340,Team1,20,4,3,13,5,31365
1745708053,38608340,Team1,27,8,8,8,2,33997
123933607,38608340,Team1,52,6,7,5,1,31155
1863208191,38608340,Team0,1,3,6,7,0,22734
1176357514,38608340,Team1,25,4,6,13,3,30286
1855172408,38608340,Team0,50,11,4,7,2,29458
1134370155,38608340,Team0,58,6,4,6,5,28279
1395432137,38608340,Team0,35,6,8,10,0,24837
1477660209,38608340,Team1,11,9,6,13,1,35850
48554332,38608550,Team0,31,2,7,3,1,27707
171862597,38608550,Team1,58,5,7,8,4,34803
1115903684,38608550,Team0,20,5,5,4,2,42496
194833486,38608550,Team0,1,12,6,4,5,44760
47750478,38608550,Team0,12,3,7,5,4,27067
224623791,38608550,Team0,17,4,6,4,0,28969
250170909,38608550,Team0,15,1,6,2,4,30843
926209578,38608550,Team1,6,7,2,11,1,37650
332303831,38608550,Team1,19,10,5,10,1,34527
190395246,38608550,Team1,13,7,2,14,5,45121
1854275053,38608550,Team1,2,4,4,14,1,38822
100464868,38608550,Team1,10,4,7,12,3,37857
175919461,38608609,Team0,12,6,8,19,3,29365
862793650,38608609,Team1,3,7,6,12,6,37602
1682414798,38608609,Team0,20,6,0,18,10,40692
1159176040,38608609,Team1,25,9,6,6,1,37437
323235963,38608609,Team0,7,12,6,11,7,42334
243706689,38608609,Team1,50,7,3,7,2,38546
95947783,38608609,Team0,58,3,9,7,5,37532
323897568,38608609,Team0,31,3,6,15,1,39897
165064062,38608609,Team1,4,7,8,15,7,33147
1838304876,38608609,Team1,1,0,10,7,1,37921
1865363858,38608609,Team1,16,6,12,6,3,30179
1067404252,38608609,Team0,13,14,7,19,0,36996
31842197,38608650,Team0,1,4,10,4,3,27147
1273149256,38608650,Team1,13,21,3,15,2,40177
1132179639,38608650,Team1,35,9,1,14,3,34284
1007596529,38608650,Team0,31,2,9,6,0,24195
1910436175,38608650,Team1,15,6,6,18,4,30902
1419449444,38608650,Team1,2,9,5,15,6,35156
148361928,38608650,Team1,18,5,2,23,7,39380
256512296,38608650,Team1,10,3,5,20,3,32619
1744135770,38608650,Team0,58,5,6,6,4,33403
424190601,38608650,Team0,14,2,11,5,2,22533
65704200,38608650,Team0,25,3,10,8,1,25332
1162378917,38608650,Team0,52,6,7,4,9,24523
207511780,38608672,Team1,2,6,8,9,4,39403
106448300,38608672,Team0,7,3,6,9,4,35399
312027275,38608672,Team1,13,6,7,9,4,38722
880638928,38608672,Team1,16,10,4,15,3,37978
200633746,38608672,Team1,31,9,7,16,3,39045
1144753662,38608672,Team0,17,8,9,5,2,27025
97417380,38608672,Team0,12,5,9,5,2,27814
65489576,38608672,Team0,11,1,9,12,1,33791
846383258,38608672,Team1,4,7,5,13,0,41867
205071683,38608672,Team1,58,6,6,7,11,40094
487005657,38608672,Team0,10,1,8,17,1,27963
1881259088,38608672,Team0,52,18,3,5,2,40213
200138466,38608690,Team1,19,6,6,4,2,30930
1811272283,38608690,Team1,10,5,4,8,5,37129
90922050,38608690,Team0,58,9,5,9,8,48931
1687078884,38608690,Team0,14,3,1,17,0,38621
228853379,38608690,Team0,31,3,5,13,0,37870
88131759,38608690,Team0,1,1,8,6,1,46583
109463916,38608690,Team1,7,4,4,8,3,45553
492192231,38608690,Team0,27,7,6,15,3,45330
1920710127,38608690,Team1,13,6,9,9,4,39463
69483893,38608690,Team0,17,9,2,11,0,38465
118933465,38608690,Team1,60,0,5,8,1,29623
