,account_id,match_id,team,hero_id,kills,deaths,assists,denies,net_worth,winning_team,win,matches_played,total_kills,total_deaths,total_assists,avg_kd,win_rate,total_time_played,kd,h_kd,kd_ratio
857,188270361,38715795,Team0,17,6,6,5,3,31867,Team1,N,2384,16670,19519,25633,0.8540396536707823,0.5197147651006712,4185675,1.0,1.7316629229823675,0.5774795930132544
858,323897568,38715795,Team0,31,1,9,8,0,30519,Team1,N,150,1496,910,1362,1.643956043956044,0.6066666666666667,260829,0.1111111111111111,1.462968398463505,0.07594908490696484
859,358959287,38715795,Team1,3,10,3,13,3,43368,Team1,Y,1063,9084,4780,11277,1.900418410041841,0.5268109125117592,2021640,3.3333333333333335,1.9475711366595345,1.7115335458558152
860,900220895,38715795,Team1,1,4,5,16,2,42279,Team1,Y,1606,10215,7595,16927,1.3449637919684003,0.5217932752179327,2927566,0.8,1.4021852871852871,0.570538007573807
861,1904092000,38715795,Team1,15,7,6,18,1,37894,Team1,Y,106,1217,562,1506,2.165480427046264,0.7169811320754716,185780,1.1666666666666667,1.0117654019724083,1.1530999818656409
862,101236355,38715795,Team0,7,4,8,3,9,40323,Team1,N,1764,17780,14241,17947,1.248507829506355,0.5379818594104309,3240549,0.5,1.6322238477376816,0.30633053223246137
863,1682265751,38715795,Team0,2,10,8,6,2,43702,Team1,N,1968,15582,10751,17879,1.4493535485071156,0.521849593495935,3547975,1.25,0.8668615598493646,1.4419834237628597
864,281768392,38715960,Team0,31,16,9,17,3,47441,Team0,Y,1039,8369,7915,11254,1.0573594440934937,0.5332050048123196,1789855,1.7777777777777777,1.462968398463505,1.2151853585114374
865,1423690634,38715960,Team1,25,6,7,9,3,33823,Team0,N,1157,7614,6220,11107,1.2241157556270097,0.5462402765773552,2035752,0.8571428571428571,1.4910563939156314,0.5748560957456026
866,130174860,38715960,Team1,4,12,13,12,6,52320,Team0,N,2322,17892,13118,22727,1.3639274279615796,0.5228251507321274,4094328,0.9230769230769231,1.0259298275323916,0.89974664767974
867,911856667,38715960,Team1,16,14,11,17,10,44275,Team0,N,1311,8150,10696,15980,0.7619670905011219,0.5461479786422578,2224684,1.2727272727272727,1.396399932583756,0.9114346420601354
868,164072337,38715960,Team0,2,13,10,17,2,47674,Team0,Y,905,8198,5893,8589,1.391142032920414,0.5524861878453039,1552333,1.3,0.8668615598493646,1.4996627607133741
869,1012333396,38715960,Team0,6,9,15,17,3,41098,Team0,Y,3271,28950,23092,30921,1.2536809284600727,0.5267502292876796,5553117,0.6,1.2029069441559086,0.4987917003181204
870,96763589,38715960,Team0,13,5,11,21,0,42142,Team0,Y,680,6513,4194,6391,1.5529327610872676,0.5926470588235294,1173259,0.45454545454545453,1.6273114050867548,0.2793229698535923
871,301594065,38715960,Team1,50,10,7,18,3,43103,Team0,N,2777,20040,13754,29066,1.4570306819834231,0.5271876125315088,5026717,1.4285714285714286,1.6093880160844445,0.8876488542813106
872,1610906733,38715960,Team1,10,11,12,23,1,44425,Team0,N,1718,13267,11079,18580,1.1974907482624786,0.5320139697322468,3036710,0.9166666666666666,1.4188236679535984,0.6460751165708956
873,1710092569,38715960,Team0,19,13,15,14,0,44192,Team0,Y,3002,24295,21370,24986,1.1368741226017782,0.5216522318454364,5168059,0.8666666666666667,1.529043210106643,0.5668032537852356
