account_id,match_id,team,hero_id,kills,deaths,assists,denies,net_worth,winning_team,win
1899347798,38685920,Team1,7,2,8,1,1,26184,Team0,N
1914332050,38685920,Team1,13,4,7,6,4,25892,Team0,N
409056238,38685920,Team0,10,13,3,19,1,43156,Team0,Y
71084852,38685920,Team1,2,2,10,13,0,29598,Team0,N
136898005,38685920,Team0,31,5,8,20,3,34012,Team0,Y
1043764834,38685970,Team1,6,2,10,17,4,32290,Team1,Y
1125557395,38685970,Team0,14,9,12,5,2,34158,Team1,N
1870872231,38685970,Team0,27,5,7,8,2,29770,Team1,N
1260543800,38685970,Team0,16,8,9,3,1,24878,Team1,N
225105863,38685970,Team1,3,9,1,24,4,38555,Team1,Y
358959287,38685970,Team1,1,5,4,15,4,36293,Team1,Y
1592121821,38685970,Team1,13,14,5,11,2,46887,Team1,Y
295151492,38685970,Team0,19,4,11,4,2,27242,Team1,N
44234535,38685970,Team1,15,13,4,19,2,40462,Team1,Y
144988274,38685970,Team0,4,0,10,9,1,26901,Team1,N
292267466,38685970,Team0,2,4,6,11,1,29298,Team1,N
274876880,38685970,Team1,31,11,6,18,2,34171,Team1,Y
997124152,38686066,Team0,27,3,13,9,1,33843,Team1,N
392086095,38686066,Team1,25,14,2,29,3,52251,Team1,Y
298155885,38686066,Team0,19,8,11,0,1,38338,Team1,N
487348881,38686066,Team0,3,4,9,5,2,32181,Team1,N
1557303666,38686066,Team1,6,15,1,33,5,48336,Team1,Y
104859703,38686066,Team1,11,8,5,29,0,44373,Team1,Y
1682265751,38686066,Team1,10,11,7,34,0,40156,Team1,Y
1424351890,38686066,Team0,60,6,10,7,1,34372,Team1,N
281768392,38686066,Team1,31,14,4,23,1,52468,Team1,Y
336275857,38686066,Team0,13,1,14,5,2,29179,Team1,N
177502895,38686066,Team1,14,11,5,25,0,51836,Team1,Y
1891839622,38686066,Team0,16,2,16,1,2,33735,Team1,N
1024834159,38686183,Team1,10,3,7,5,2,16651,Team0,N
1474266657,38686183,Team1,27,3,9,5,1,21893,Team0,N
1006874491,38686183,Team1,20,2,5,9,5,23668,Team0,N
336905219,38686183,Team1,15,6,9,6,0,19173,Team0,N
313369806,38686183,Team1,35,4,5,9,0,24918,Team0,N
72330743,38686183,Team0,31,7,5,11,1,22843,Team0,Y
913723777,38686183,Team0,52,11,1,7,6,32367,Team0,Y
1024026045,38686183,Team0,7,5,2,7,3,35132,Team0,Y
1361339717,38686183,Team0,14,7,6,12,0,24773,Team0,Y
1573787623,38686183,Team0,18,6,4,16,0,25797,Team0,Y
1676754115,38686183,Team1,1,5,6,4,0,27284,Team0,N
1068132537,38686183,Team0,13,5,5,13,4,31252,Team0,Y
277803056,38686259,Team1,58,6,7,8,4,38515,Team0,N
1217656449,38686259,Team0,18,9,9,24,2,42484,Team0,Y
4028775,38686259,Team0,27,14,6,14,0,48837,Team0,Y
980023123,38686259,Team0,2,6,5,15,5,46296,Team0,Y
1274954495,38686259,Team1,3,8,9,10,2,33543,Team0,N
34294529,38686259,Team1,1,3,9,5,1,37008,Team0,N
192013690,38686259,Team0,52,7,1,18,9,44298,Team0,Y
386661687,38686259,Team0,13,9,8,16,3,39686,Team0,Y
1838507716,38686259,Team1,4,5,6,12,5,39125,Team0,N
432805820,38686259,Team1,16,4,9,6,5,39901,Team0,N
486464940,38686259,Team0,17,3,5,14,4,43896,Team0,Y
1023731437,38686259,Team1,50,8,8,6,6,38967,Team0,N
951978031,38686395,Team1,2,2,9,10,0,21638,Team0,N
130174860,38686395,Team0,52,6,0,13,1,40247,Team0,Y
1098006019,38686395,Team1,13,2,7,4,9,24668,Team0,N
112724001,38686395,Team0,18,4,3,13,2,29063,Team0,Y
1425284998,38686395,Team1,31,1,4,6,4,21053,Team0,N
1779852249,38686395,Team1,58,3,10,7,4,27437,Team0,N
99576706,38686395,Team0,27,5,4,11,1,31532,Team0,Y
298305257,38686395,Team1,7,6,4,6,5,28574,Team0,N
1080128109,38686395,Team0,1,5,2,17,6,41811,Team0,Y
1009703898,38686395,Team0,19,9,6,9,1,28955,Team0,Y
890192275,38686395,Team0,3,7,3,14,1,29479,Team0,Y
35187362,38686395,Team1,16,4,2,3,5,31570,Team0,N
120318446,38686708,Team0,18,7,11,12,5,32313,Team1,N
120107720,38686708,Team0,15,7,14,19,0,28822,Team1,N
1599940693,38686708,Team0,35,8,8,15,3,37902,Team1,N
104197251,38686708,Team1,31,9,10,16,1,38559,Team1,Y
1125557395,38686708,Team1,14,17,5,17,3,38835,Team1,Y
1309313639,38686708,Team1,58,14,6,19,5,37764,Team1,Y
188270361,38686708,Team0,17,11,13,8,2,29510,Team1,N
888030249,38686708,Team0,2,5,13,14,0,31487,Team1,N
1048763171,38686708,Team1,13,9,5,22,3,40523,Team1,Y
1858418893,38686708,Team0,3,4,13,10,4,28532,Team1,N
1870872231,38686708,Team1,27,19,10,22,0,48661,Team1,Y
148781188,38686708,Team1,7,4,9,18,7,37990,Team1,Y
409056238,38686822,Team0,31,15,6,21,2,50394,Team0,Y
90518762,38686822,Team0,13,7,10,14,0,37224,Team0,Y
136898005,38686822,Team0,18,5,5,35,3,36686,Team0,Y
206238595,38686822,Team1,2,13,7,11,5,49163,Team0,N
274876880,38686822,Team1,17,6,12,9,4,29651,Team0,N
1150943406,38686822,Team0,10,5,6,25,0,33403,Team0,Y
145961401,38686822,Team1,19,3,11,12,1,27439,Team0,N
358959287,38686822,Team1,1,5,7,6,3,33349,Team0,N
912775207,38686822,Team0,3,15,5,20,3,35787,Team0,Y
74744539,38686822,Team1,27,9,13,14,1,29825,Team0,N
413966860,38686822,Team0,7,12,8,9,3,36923,Team0,Y
1803767927,38686822,Team1,14,4,9,10,2,27273,Team0,N
487348881,38686953,Team1,3,3,4,3,1,23008,Team0,N
1424351890,38686953,Team1,60,2,7,3,0,27915,Team0,N
336275857,38686953,Team1,18,0,10,3,1,27594,Team0,N
997124152,38686953,Team1,27,3,9,5,6,30372,Team0,N
298155885,38686953,Team1,50,6,9,5,3,28358,Team0,N
91885374,38686953,Team0,17,6,4,17,1,37117,Team0,Y
1891839622,38686953,Team1,6,6,11,5,0,28073,Team0,N
281768392,38686953,Team0,31,12,1,17,4,42998,Team0,Y
845610743,38686953,Team0,20,3,2,18,1,34048,Team0,Y
1423690634,38686953,Team0,14,8,6,14,1,32088,Team0,Y
334493656,38686953,Team0,19,13,2,13,4,36214,Team0,Y
1018313288,38686953,Team0,1,7,5,14,1,34997,Team0,Y
170809608,38629328,Team1,31,4,12,12,3,31952,Team0,N
200874500,38629328,Team0,52,1,7,16,4,38761,Team0,Y
26958572,38629328,Team1,20,5,5,18,2,35922,Team0,N
300886209,38629328,Team1,13,10,8,9,1,39430,Team0,N
889457024,38629328,Team1,10,8,5,7,1,36141,Team0,N
344732515,38629328,Team0,2,7,2,13,4,48820,Team0,Y
1837860425,38629328,Team0,14,12,5,12,0,40652,Team0,Y
1245152876,38629328,Team1,1,1,4,14,2,40373,Team0,N
236584583,38629328,Team0,19,10,10,14,2,36616,Team0,Y
320483271,38629328,Team0,7,7,6,10,9,41710,Team0,Y
1521580544,38629328,Team1,58,8,10,4,3,28488,Team0,N
113552260,38629328,Team0,18,7,6,14,2,40626,Team0,Y
349804083,38629395,Team1,17,4,5,3,0,19888,Team0,N
122953761,38629395,Team1,15,4,9,8,4,19034,Team0,N
487348881,38629395,Team1,2,6,6,2,0,24032,Team0,N
867012467,38629395,Team1,16,1,9,2,1,19390,Team0,N
206238595,38629395,Team0,13,7,2,12,3,31253,Team0,Y
925517881,38629395,Team1,6,0,7,2,1,19761,Team0,N
1787356635,38629395,Team0,14,8,4,21,3,27526,Team0,Y
1838304876,38629395,Team0,31,5,2,11,0,24818,Team0,Y
997124152,38629395,Team1,27,2,10,8,0,19710,Team0,N
1803767927,38629395,Team0,58,8,6,11,1,26214,Team0,Y
914913299,38629395,Team0,52,15,2,12,5,34120,Team0,Y
100793754,38629395,Team0,12,3,1,14,1,24581,Team0,Y
891136769,38629419,Team0,15,4,5,7,1,24308,Team1,N
1291344841,38629419,Team1,10,3,8,11,6,23539,Team1,Y
1185477176,38629419,Team0,18,1,9,2,4,16658,Team1,N
109809134,38629419,Team0,1,3,6,5,1,26925,Team1,N
123243356,38629419,Team1,14,7,1,9,0,34982,Team1,Y
116511189,38629419,Team0,52,1,5,2,3,23792,Team1,N
343286802,38629419,Team0,12,1,3,3,0,20559,Team1,N
169639046,38629419,Team0,50,3,3,6,3,28505,Team1,N
85167576,38629419,Team1,7,13,1,3,9,39020,Team1,Y
1700473482,38629419,Team1,20,2,0,16,10,31217,Team1,Y
1473185955,38629419,Team1,6,1,3,7,2,31445,Team1,Y
1179370769,38629419,Team1,31,4,2,8,1,27941,Team1,Y
1072901222,38629490,Team0,4,6,8,6,3,25564,Team1,N
1013966237,38629490,Team1,27,11,8,9,3,29521,Team1,Y
1201229108,38629490,Team0,15,3,10,9,2,22837,Team1,N
934148390,38629490,Team1,31,5,4,20,0,30686,Team1,Y
308802177,38629490,Team1,10,6,2,20,2,31337,Team1,Y
298305257,38629490,Team0,14,11,2,10,0,35217,Team1,N
310776083,38629490,Team0,19,5,11,7,7,26963,Team1,N
1741686485,38629490,Team1,25,9,8,10,4,35372,Team1,Y
1899347798,38629490,Team1,8,5,7,14,3,32436,Team1,Y
1022438730,38629490,Team1,1,8,4,14,1,35362,Team1,Y
1391556166,38629490,Team0,13,8,6,9,3,31768,Team1,N
77645543,38629490,Team0,12,0,7,9,8,21324,Team1,N
44234535,38629619,Team1,35,8,9,19,0,30113,Team1,Y
992070193,38629619,Team1,31,8,3,27,8,36010,Team1,Y
1696863193,38629619,Team0,12,5,7,7,1,25478,Team1,N
135981230,38629619,Team0,2,4,9,5,5,30881,Team1,N
1243852454,38629619,Team1,10,10,3,20,7,32624,Team1,Y
69988097,38629619,Team0,27,6,10,9,0,23433,Team1,N
130174860,38629619,Team0,13,5,8,8,2,33192,Team1,N
43104332,38629619,Team1,3,7,4,24,0,32317,Team1,Y
1014171829,38629619,Team0,15,6,11,5,2,26795,Team1,N
297343759,38629619,Team0,4,2,12,4,1,23413,Team1,N
