account_id,p_total_matches_played,p_total_kills,p_total_deaths,p_total_wins,p_total_assists,p_total_time_played,p_avg_kills,p_win_rate
2900294,1564,12301,8006,888,18974,2900250,7.865089514066496,0.5677749360613811
3182061,91,773,530,65,1007,161266,8.494505494505495,0.7142857142857143
3458194,1235,6715,8161,651,14845,2471845,5.437246963562753,0.5271255060728745
3468923,618,5369,5547,335,5701,1169569,8.687702265372168,0.5420711974110033
3479207,357,2665,2162,191,4392,722862,7.464985994397759,0.5350140056022409
3673303,545,2442,3176,300,6610,1093182,4.480733944954128,0.5504587155963303
4435817,377,2532,2558,185,3536,758640,6.7161803713527854,0.4907161803713528
4780309,410,2505,2118,219,4811,770596,6.109756097560975,0.5341463414634147
4780676,2219,9312,7640,1114,22975,4582524,4.196484903109509,0.5020279405137449
4901624,849,5990,5066,424,8467,1790873,7.055359246171967,0.4994110718492344
5180125,734,5237,4713,405,7521,1464831,7.1348773841961854,0.5517711171662125
5278896,799,7598,4088,446,6896,1336013,9.50938673341677,0.55819774718398
5447772,1393,11147,6508,715,14449,2484026,8.002153625269203,0.5132806891600862
5606568,311,1808,1961,156,4326,668474,5.813504823151125,0.5016077170418006
5665082,659,2051,4217,344,7455,1334033,3.1122913505311076,0.5220030349013657
5752431,365,2313,2278,198,4533,725989,6.336986301369863,0.5424657534246575
6140907,1052,6314,7196,557,12625,2170619,6.001901140684411,0.529467680608365
6207117,806,4141,4668,438,10412,1696175,5.137717121588089,0.543424317617866
6218728,485,4789,2533,248,5906,1027357,9.874226804123712,0.511340206185567
6246374,437,3512,2996,211,3587,899136,8.036613272311213,0.482837528604119
6270783,962,6889,4638,513,10704,1914137,7.161122661122661,0.5332640332640333
6405343,696,5874,4939,361,6578,1339368,8.439655172413794,0.5186781609195402
6479468,820,7479,4074,448,9493,1623667,9.120731707317074,0.5463414634146342
6754600,567,4293,2643,275,6126,1126542,7.571428571428571,0.48500881834215165
6851431,1156,6673,6217,610,12401,2359993,5.772491349480969,0.527681660899654
6888268,766,4335,3420,403,9650,1458532,5.6592689295039165,0.5261096605744126
6927154,547,3293,3920,279,5744,1073646,6.020109689213894,0.5100548446069469
6935840,1279,10863,8663,682,12674,2456855,8.493354182955434,0.5332290852228303
7072268,577,3378,4455,300,6289,1202425,5.854419410745234,0.5199306759098787
7100261,2735,21112,18385,1383,22585,5288816,7.719195612431444,0.5056672760511883
7172979,478,2928,2815,225,5166,963264,6.125523012552302,0.4707112970711297
7511092,587,4843,2612,326,7211,1181981,8.250425894378195,0.555366269165247
7831771,604,2533,4595,297,7320,1209088,4.193708609271523,0.4917218543046358
7910302,1070,6114,4651,577,9347,1956042,5.714018691588785,0.5392523364485982
7958023,578,2543,2886,288,5471,1194515,4.399653979238754,0.4982698961937716
7984905,1284,6672,8050,634,15996,2511337,5.196261682242991,0.4937694704049844
8026948,621,5423,2623,306,8415,1224958,8.732689210950081,0.4927536231884058
8043097,624,2716,3837,328,8375,1228224,4.352564102564102,0.5256410256410257
8261079,1054,6078,5261,522,12219,2212354,5.766603415559772,0.4952561669829222
9021788,984,5627,4059,504,12195,1973272,5.71849593495935,0.5121951219512195
9398369,849,7460,4459,429,9213,1797188,8.78680800942285,0.5053003533568905
9403674,1049,7685,3512,534,12195,2028852,7.326024785510009,0.5090562440419447
9497010,183,1618,1173,94,1672,365962,8.841530054644808,0.5136612021857924
9766655,349,3116,2726,187,2518,698347,8.928366762177651,0.5358166189111748
9866686,588,4097,3379,340,6812,1227569,6.967687074829932,0.5782312925170068
10063999,727,5641,3377,380,8051,1497892,7.759284731774415,0.5226960110041265
10112413,951,6431,4198,487,10094,1926545,6.7623554153522605,0.5120925341745531
10224812,385,3487,2497,199,3820,783549,9.057142857142857,0.5168831168831168
10225866,2040,14530,10428,1024,17876,4030705,7.122549019607843,0.5019607843137255
10298152,1009,6008,6122,517,9451,1988062,5.954410307234886,0.512388503468781
10374033,1172,8029,10149,578,11733,2318782,6.850682593856655,0.4931740614334471
10397429,377,2024,2206,210,4743,733959,5.36870026525199,0.5570291777188329
10479675,1651,9339,12759,840,17254,3025409,5.656571774682011,0.5087825560266506
10480995,379,2359,1850,189,4203,740899,6.224274406332454,0.49868073878627966
11096371,594,4708,3353,323,8103,1243212,7.925925925925926,0.5437710437710438
11135960,1003,8496,5744,551,11447,1948902,8.470588235294118,0.5493519441674976
11161782,586,4134,4510,289,6885,1199981,7.054607508532423,0.4931740614334471
11320068,568,3414,3354,293,5616,1093801,6.01056338028169,0.5158450704225352
11725797,835,3846,3677,432,10556,1691602,4.605988023952095,0.5173652694610779
11768734,627,4440,3789,340,6670,1293823,7.08133971291866,0.5422647527910686
11931804,331,1987,1864,172,3492,648146,6.003021148036254,0.5196374622356495
12026999,977,8168,5985,498,9943,1898624,8.36028659160696,0.5097236438075742
12047600,1072,4790,5288,547,12192,2168750,4.468283582089552,0.5102611940298507
12053852,1063,5418,9481,561,10715,2124685,5.09689557855127,0.5277516462841016
12177195,903,5518,5606,465,9437,1784823,6.110741971207087,0.5149501661129569
12185812,493,2509,3403,279,6255,850784,5.089249492900609,0.565922920892495
12244776,977,10828,6702,552,9788,1859056,11.082906857727737,0.5649948822927329
12379364,785,4124,4876,401,8845,1551115,5.2535031847133755,0.510828025477707
12391689,784,5115,4746,466,9666,1455339,6.524234693877551,0.5943877551020408
12584160,1222,6737,8661,623,13441,2422391,5.513093289689034,0.5098199672667758
12896754,631,4261,3825,343,7863,1205664,6.752773375594295,0.5435816164817749
13803213,868,5147,4250,447,8542,1735924,5.929723502304148,0.5149769585253456
13821118,246,1342,1060,131,3024,522191,5.455284552845528,0.532520325203252
13955615,1186,8312,9488,588,12830,2335752,7.008431703204047,0.4957841483979764
14091677,958,7541,5439,516,11686,1868309,7.87160751565762,0.5386221294363257
14133039,821,9696,5004,466,8888,1558049,11.809987819732035,0.5676004872107187
14231343,1327,13299,10951,755,13983,2702822,10.02185380557649,0.5689525244913338
14693519,967,6867,5140,515,11907,1879008,7.10134436401241,0.532574974146846
14778197,355,3152,1982,216,4127,745863,8.87887323943662,0.6084507042253521
14966832,245,1642,1662,141,2710,480370,6.702040816326531,0.5755102040816327
15020720,942,7553,5862,485,7850,1809049,8.018046709129512,0.5148619957537155
15242969,415,3570,2204,245,4512,796564,8.602409638554217,0.5903614457831325
15763789,1121,10059,8859,575,12382,1942681,8.973238180196253,0.5129348795718108
15776856,816,5230,3871,434,8569,1503521,6.409313725490196,0.5318627450980392
15998921,276,1664,1482,136,3062,535051,6.028985507246377,0.4927536231884058
16240744,1048,7789,9065,523,13469,2097170,7.432251908396947,0.49904580152671757
16318483,1834,15056,13984,929,19112,3558203,8.209378407851691,0.5065430752453653
16367796,602,3697,4076,314,6903,1161593,6.141196013289036,0.521594684385382
16435195,1817,15530,11615,920,16740,3433678,8.547055586130986,0.5063291139240507
16852086,368,2304,2997,202,3384,684309,6.260869565217392,0.5489130434782609
17040954,913,6037,5929,486,9807,1552958,6.612267250821468,0.5323110624315444
17081245,844,10981,2383,662,9793,1406697,13.010663507109005,0.7843601895734598
17367848,1978,11737,14074,988,18016,3852481,5.9337714863498485,0.4994944388270981
17403205,1035,7222,4470,613,12137,1830026,6.977777777777778,0.5922705314009662
17441718,882,7677,4070,446,9640,1722082,8.704081632653061,0.5056689342403629
17525469,455,2847,2445,228,4116,880093,6.257142857142857,0.5010989010989011
17526635,1087,9228,7797,544,14591,2274044,8.489420423183073,0.500459981600736
17678551,449,2998,3113,244,4119,874898,6.67706013363029,0.5434298440979956
