account_id,match_id,team,hero_id,kills,deaths,assists,denies,net_worth
188859483,35400619,Team1,6,3,1,7,8,23075
236599146,35400619,Team1,13,6,6,4,7,26524
1868839452,35400619,Team1,27,21,2,6,3,36943
1200745973,35400619,Team0,52,1,7,4,3,14053
352231929,35400619,Team1,11,1,1,13,3,21389
291902996,35400619,Team0,20,1,7,4,3,15190
846183775,35400619,Team1,14,4,4,8,6,21576
1190115775,35400619,Team0,1,1,8,2,1,14702
184693821,35400619,Team1,60,6,2,13,3,21469
386039958,35400619,Team0,31,4,12,4,7,13348
190395246,35400619,Team0,19,5,3,2,2,18526
247888804,35400642,Team0,2,5,5,15,4,38944
147759221,35400642,Team0,52,6,3,16,5,39669
888327418,35400642,Team1,6,8,9,5,6,33369
420181684,35400642,Team1,15,4,7,6,3,35977
78706118,35400642,Team1,20,1,8,6,8,28148
193143480,35400642,Team1,10,3,11,7,5,28533
1536950612,35400642,Team1,25,7,7,11,7,36413
166350589,35400642,Team0,31,13,2,16,9,43670
308362270,35400642,Team0,50,13,4,17,4,39996
1028395280,35400642,Team0,35,5,3,17,9,37627
970256457,35400642,Team1,11,3,9,12,3,30275
1096931834,35400642,Team0,58,9,9,13,1,36833
1879129971,35400782,Team0,58,1,7,3,3,28046
1259615290,35400782,Team0,35,4,5,6,2,30502
106448300,35400782,Team1,52,3,5,8,1,31027
140062687,35400782,Team0,7,6,9,6,5,31076
50654584,35400782,Team1,15,8,3,11,5,27293
90711877,35400782,Team0,14,1,6,4,4,26064
9021788,35400782,Team0,6,5,6,2,7,26756
1012333396,35400782,Team0,1,3,14,5,14,27298
1112131714,35400782,Team1,18,6,7,14,0,29583
294560455,35400782,Team1,2,11,1,13,0,33842
1869028605,35400782,Team1,31,9,3,17,4,30880
247399020,35400782,Team1,10,9,1,14,10,30839
97506421,35400852,Team1,15,9,5,8,6,34367
165560339,35400852,Team1,4,5,11,4,1,25991
12053852,35400852,Team1,52,1,7,7,1,27841
472792201,35400852,Team1,12,3,4,10,2,26620
248561568,35400852,Team0,31,4,6,13,8,27566
895035338,35400852,Team0,17,4,5,11,1,27372
903708588,35400852,Team0,50,3,5,6,3,31408
241312861,35400852,Team0,6,11,4,10,3,29742
271562520,35400852,Team0,27,14,3,15,5,41738
853169448,35400852,Team1,18,3,7,10,5,25465
33499383,35400852,Team1,13,5,5,3,4,27768
118027127,35400852,Team0,3,3,3,14,12,29622
1558594524,35401042,Team1,17,11,6,7,6,33956
131614199,35401042,Team0,25,9,5,9,7,34419
298312890,35401042,Team1,11,3,8,13,5,28738
214148829,35401042,Team1,19,7,3,8,5,28261
345182041,35401042,Team0,6,2,11,8,10,28311
846183775,35401042,Team1,14,2,9,20,2,26991
1200745973,35401042,Team0,52,4,5,17,11,30618
84379844,35401042,Team1,2,3,6,7,3,31118
1190115775,35401042,Team0,1,7,5,18,3,31819
137322787,35401042,Team0,15,13,3,8,13,34646
55126821,35401042,Team0,31,7,5,16,4,29102
