match_id,team_0_win,p_total_time_played_min_diff,p_total_time_played_max_diff,p_total_time_played_mean_diff,p_total_time_played_std_diff,ph_wins_min_diff,ph_wins_max_diff,ph_wins_mean_diff,ph_wins_std_diff,ph_kills_min_diff,ph_kills_max_diff,ph_kills_mean_diff,ph_kills_std_diff,ph_deaths_min_diff,ph_deaths_max_diff,ph_deaths_mean_diff,ph_deaths_std_diff,ph_assists_min_diff,ph_assists_max_diff,ph_assists_mean_diff,ph_assists_std_diff,ph_damage_per_min_min_diff,ph_damage_per_min_max_diff,ph_damage_per_min_mean_diff,ph_damage_per_min_std_diff,ph_time_played_min_diff,ph_time_played_max_diff,ph_time_played_mean_diff,ph_time_played_std_diff,ph_total_kd_min_diff,ph_total_kd_max_diff,ph_total_kd_mean_diff,ph_total_kd_std_diff,ph_kd_ratio_min_diff,ph_kd_ratio_max_diff,ph_kd_ratio_mean_diff,ph_kd_ratio_std_diff,ph_time_played_ratio_min_diff,ph_time_played_ratio_max_diff,ph_time_played_ratio_mean_diff,ph_time_played_ratio_std_diff,ph_damage_per_min_ratio_min_diff,ph_damage_per_min_ratio_max_diff,ph_damage_per_min_ratio_mean_diff,ph_damage_per_min_ratio_std_diff,ph_assists_ratio_min_diff,ph_assists_ratio_max_diff,ph_assists_ratio_mean_diff,ph_assists_ratio_std_diff,ph_win_rate_ratio_min_diff,ph_win_rate_ratio_max_diff,ph_win_rate_ratio_mean_diff,ph_win_rate_ratio_std_diff
38836994,Y,1444.0,6546.0,277.5,784.769,0.0,2.0,0.75,,-7.0,6.0,-1.0,,-2.0,13.0,4.5,,3.0,24.0,11.5,,130.232,192.294,146.196,,-818.0,3088.0,531.75,,-2.559,1.0,-1.292,,-0.189,1.845,0.64,,-0.294,0.805,0.092,,0.021,0.207,0.111,,0.099,0.895,0.485,,0.0,2.218,0.679,
38837179,Y,-3326.0,-1404.0,-2286.4,1236.29,-2.0,-1.0,-1.667,,-16.0,-6.0,-11.333,,-8.0,-3.0,-5.667,,-12.0,-1.0,-6.333,,100.744,569.514,280.878,,-3393.0,-3071.0,-3246.0,,-1.108,-0.208,-0.636,,0.316,3.844,1.688,,-0.755,-0.681,-0.708,,0.148,0.573,0.315,,-0.693,-0.174,-0.467,,-1.468,0.374,-0.854,
38837489,Y,9004.0,-4101.0,6475.467,-4609.274,3.0,1.0,1.75,,31.0,27.0,28.5,,36.0,34.0,35.0,,99.0,93.0,96.0,,412.423,-32.817,214.68,,9534.0,8453.0,9119.5,,-0.119,-0.786,-0.348,,1.04,0.028,0.569,,2.324,1.924,2.179,,0.488,-0.159,0.218,,3.321,3.021,3.144,,0.788,-1.372,-0.758,
38837856,Y,-5242.0,9772.0,6480.2,7386.615,1.0,2.0,1.333,,3.0,81.0,33.333,,-7.0,57.0,19.667,,2.0,64.0,23.667,,187.993,464.952,342.547,,-183.0,14424.0,6507.667,,0.388,1.214,0.704,,-1.47,-0.514,-0.882,,0.143,3.947,1.858,,0.158,0.438,0.279,,0.088,3.273,1.25,,-0.476,0.817,0.004,
38838232,Y,-2124.0,3632.0,-1477.6,4438.487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38838461,Y,4959.0,-234.0,931.633,-1913.427,-3.0,0.0,-1.5,,-53.0,-21.0,-35.75,,-25.0,-5.0,-16.5,,-51.0,-2.0,-30.75,,-1100.993,-105.429,-634.807,,-6675.0,-1846.0,-4528.0,,-1.444,5.889,1.135,,-0.392,1.704,0.47,,-2.053,-0.593,-1.46,,-1.125,-0.298,-0.624,,-2.704,-0.595,-1.86,,-1.47,0.748,-0.344,
38839181,Y,-1425.0,-10720.0,-8234.333,-3727.492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38839286,N,5502.0,-2341.0,1951.3,-4094.226,-3.0,0.0,-1.25,,-62.0,-26.0,-46.5,,-44.0,-17.0,-32.0,,-45.0,28.0,-17.0,,-210.123,226.359,-59.31,,-11726.0,-867.0,-7876.25,,-0.173,-0.008,-0.074,,-0.133,0.295,0.073,,-2.63,-0.009,-1.683,,-0.231,0.237,-0.032,,-1.852,0.785,-0.785,,-0.835,1.383,0.249,
38839522,Y,3457.0,-6482.0,1041.333,-3264.642,-4.0,-4.0,-4.0,,-32.0,-32.0,-32.0,,-23.0,-23.0,-23.0,,-67.0,-59.0,-63.0,,-285.264,-67.018,-176.141,,-7595.0,-7595.0,-7595.0,,-0.575,-0.575,-0.575,,0.929,1.846,1.388,,-1.83,-1.82,-1.825,,-0.351,-0.106,-0.228,,-2.223,-1.936,-2.079,,-1.051,-1.051,-1.051,
38839841,Y,-1827.0,-8178.0,-6473.4,-1979.251,-1.0,0.0,-0.25,,-7.0,9.0,1.75,,-4.0,13.0,5.0,,-20.0,-6.0,-13.75,,-245.469,245.349,68.868,,-2028.0,3102.0,408.25,,-1.411,0.375,-0.38,,-0.091,0.923,0.376,,-0.52,0.677,0.058,,-0.374,0.891,0.089,,-0.875,-0.089,-0.564,,-1.239,-0.12,-0.442,
